Category: All categories,
,
Month,free food: (Canada)
Jan-04,56
Feb-04,73
Mar-04,57
Apr-04,58
May-04,65
Jun-04,44
Jul-04,55
Aug-04,45
Sep-04,42
Oct-04,58
Nov-04,61
Dec-04,50
Jan-05,54
Feb-05,54
Mar-05,60
Apr-05,50
May-05,43
Jun-05,50
Jul-05,51
Aug-05,42
Sep-05,52
Oct-05,61
Nov-05,60
Dec-05,42
Jan-06,50
Feb-06,50
Mar-06,53
Apr-06,40
May-06,56
Jun-06,48
Jul-06,51
Aug-06,59
Sep-06,46
Oct-06,54
Nov-06,56
Dec-06,41
Jan-07,63
Feb-07,48
Mar-07,56
Apr-07,57
May-07,59
Jun-07,54
Jul-07,52
Aug-07,46
Sep-07,48
Oct-07,54
Nov-07,56
Dec-07,55
Jan-08,65
Feb-08,60
Mar-08,60
Apr-08,64
May-08,55
Jun-08,59
Jul-08,55
Aug-08,51
Sep-08,55
Oct-08,60
Nov-08,60
Dec-08,65
Jan-09,57
Feb-09,58
Mar-09,66
Apr-09,59
May-09,58
Jun-09,62
Jul-09,58
Aug-09,59
Sep-09,58
Oct-09,58
Nov-09,81
Dec-09,65
Jan-10,78
Feb-10,74
Mar-10,78
Apr-10,68
May-10,62
Jun-10,59
Jul-10,64
Aug-10,60
Sep-10,60
Oct-10,62
Nov-10,66
Dec-10,58
Jan-11,61
Feb-11,59
Mar-11,59
Apr-11,58
May-11,70
Jun-11,62
Jul-11,62
Aug-11,57
Sep-11,63
Oct-11,67
Nov-11,66
Dec-11,58
Jan-12,68
Feb-12,68
Mar-12,63
Apr-12,64
May-12,66
Jun-12,70
Jul-12,66
Aug-12,75
Sep-12,72
Oct-12,73
Nov-12,68
Dec-12,62
Jan-13,80
Feb-13,72
Mar-13,79
Apr-13,74
May-13,71
Jun-13,70
Jul-13,67
Aug-13,68
Sep-13,66
Oct-13,73
Nov-13,64
Dec-13,67
Jan-14,73
Feb-14,74
Mar-14,71
Apr-14,69
May-14,65
Jun-14,63
Jul-14,68
Aug-14,70
Sep-14,64
Oct-14,69
Nov-14,64
Dec-14,60
Jan-15,65
Feb-15,67
Mar-15,70
Apr-15,63
May-15,61
Jun-15,67
Jul-15,68
Aug-15,68
Sep-15,62
Oct-15,61
Nov-15,67
Dec-15,64
Jan-16,63
Feb-16,64
Mar-16,67
Apr-16,64
May-16,64
Jun-16,65
Jul-16,65
Aug-16,56
Sep-16,61
Oct-16,63
Nov-16,58
Dec-16,62
Jan-17,70
Feb-17,66
Mar-17,66
Apr-17,66
May-17,60
Jun-17,64
Jul-17,71
Aug-17,69
Sep-17,66
Oct-17,67
Nov-17,64
Dec-17,62
Jan-18,73
Feb-18,69
Mar-18,72
Apr-18,67
May-18,68
Jun-18,70
Jul-18,78
Aug-18,81
Sep-18,74
Oct-18,70
Nov-18,71
Dec-18,69
Jan-19,78
Feb-19,73
Mar-19,73
Apr-19,73
May-19,75
Jun-19,84
Jul-19,100
Aug-19,81
Sep-19,76
Oct-19,77
Nov-19,74
Dec-19,75
Jan-20,82
Feb-20,83
Mar-20,78
Apr-20,82
May-20,89
Jun-20,83
Jul-20,99
Aug-20,85
Sep-20,83
Oct-20,70
Nov-20,64
Dec-20,63
Jan-21,69
Feb-21,67
Mar-21,65
Apr-21,75
May-21,80
Jun-21,73
Jul-21,66
Aug-21,78
Sep-21,87
Oct-21,75
Nov-21,72
Dec-21,66
Jan-22,71
Feb-22,82
Mar-22,89
Apr-22,75
May-22,79
Jun-22,81
Jul-22,88
Aug-22,86
Sep-22,79
Oct-22,82
Nov-22,74
Dec-22,74
Jan-23,81
Feb-23,86
Mar-23,86
Apr-23,86
May-23,85
Jun-23,90
Jul-23,91
Aug-23,94
Sep-23,91
Oct-23,86
Nov-23,85
Dec-23,87
Jan-24,87
Feb-24,90
Mar-24,89
Apr-24,88
May-24,88
Jun-24,88
Jul-24,99
