index,free meal: (Canada)
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,59
2004-06-01,45
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,30
2005-02-01,0
2005-03-01,31
2005-04-01,0
2005-05-01,0
2005-06-01,30
2005-07-01,47
2005-08-01,0
2005-09-01,38
2005-10-01,0
2005-11-01,28
2005-12-01,0
2006-01-01,32
2006-02-01,0
2006-03-01,36
2006-04-01,35
2006-05-01,0
2006-06-01,25
2006-07-01,30
2006-08-01,28
2006-09-01,24
2006-10-01,17
2006-11-01,24
2006-12-01,17
2007-01-01,36
2007-02-01,26
2007-03-01,28
2007-04-01,18
2007-05-01,24
2007-06-01,27
2007-07-01,28
2007-08-01,27
2007-09-01,25
2007-10-01,28
2007-11-01,29
2007-12-01,25
2008-01-01,41
2008-02-01,33
2008-03-01,29
2008-04-01,34
2008-05-01,28
2008-06-01,25
2008-07-01,28
2008-08-01,33
2008-09-01,27
2008-10-01,31
2008-11-01,28
2008-12-01,34
2009-01-01,46
2009-02-01,31
2009-03-01,32
2009-04-01,40
2009-05-01,39
2009-06-01,34
2009-07-01,38
2009-08-01,34
2009-09-01,38
2009-10-01,31
2009-11-01,42
2009-12-01,37
2010-01-01,53
2010-02-01,40
2010-03-01,43
2010-04-01,45
2010-05-01,37
2010-06-01,41
2010-07-01,30
2010-08-01,29
2010-09-01,37
2010-10-01,37
2010-11-01,36
2010-12-01,31
2011-01-01,57
2011-02-01,52
2011-03-01,46
2011-04-01,52
2011-05-01,47
2011-06-01,45
2011-07-01,36
2011-08-01,49
2011-09-01,46
2011-10-01,42
2011-11-01,45
2011-12-01,39
2012-01-01,60
2012-02-01,57
2012-03-01,42
2012-04-01,51
2012-05-01,45
2012-06-01,52
2012-07-01,42
2012-08-01,53
2012-09-01,55
2012-10-01,45
2012-11-01,49
2012-12-01,41
2013-01-01,57
2013-02-01,61
2013-03-01,64
2013-04-01,62
2013-05-01,51
2013-06-01,48
2013-07-01,57
2013-08-01,53
2013-09-01,54
2013-10-01,50
2013-11-01,52
2013-12-01,48
2014-01-01,70
2014-02-01,58
2014-03-01,56
2014-04-01,63
2014-05-01,59
2014-06-01,65
2014-07-01,58
2014-08-01,54
2014-09-01,54
2014-10-01,54
2014-11-01,51
2014-12-01,50
2015-01-01,64
2015-02-01,56
2015-03-01,63
2015-04-01,57
2015-05-01,45
2015-06-01,46
2015-07-01,51
2015-08-01,54
2015-09-01,53
2015-10-01,57
2015-11-01,53
2015-12-01,50
2016-01-01,64
2016-02-01,58
2016-03-01,54
2016-04-01,51
2016-05-01,50
2016-06-01,46
2016-07-01,47
2016-08-01,45
2016-09-01,52
2016-10-01,49
2016-11-01,50
2016-12-01,50
2017-01-01,65
2017-02-01,55
2017-03-01,53
2017-04-01,58
2017-05-01,55
2017-06-01,62
2017-07-01,56
2017-08-01,60
2017-09-01,55
2017-10-01,58
2017-11-01,57
2017-12-01,55
2018-01-01,69
2018-02-01,58
2018-03-01,60
2018-04-01,65
2018-05-01,59
2018-06-01,56
2018-07-01,58
2018-08-01,71
2018-09-01,65
2018-10-01,65
2018-11-01,68
2018-12-01,64
2019-01-01,86
2019-02-01,69
2019-03-01,71
2019-04-01,69
2019-05-01,64
2019-06-01,74
2019-07-01,81
2019-08-01,70
2019-09-01,66
2019-10-01,69
2019-11-01,68
2019-12-01,69
2020-01-01,100
2020-02-01,79
2020-03-01,68
2020-04-01,69
2020-05-01,68
2020-06-01,55
2020-07-01,64
2020-08-01,63
2020-09-01,58
2020-10-01,50
2020-11-01,49
2020-12-01,52
2021-01-01,72
2021-02-01,64
2021-03-01,61
2021-04-01,54
2021-05-01,59
2021-06-01,54
2021-07-01,51
2021-08-01,52
2021-09-01,48
2021-10-01,52
2021-11-01,52
2021-12-01,43
2022-01-01,70
2022-02-01,58
2022-03-01,64
2022-04-01,59
2022-05-01,49
2022-06-01,51
2022-07-01,59
2022-08-01,65
2022-09-01,60
2022-10-01,54
2022-11-01,51
2022-12-01,52
2023-01-01,74
2023-02-01,68
2023-03-01,65
2023-04-01,63
2023-05-01,60
2023-06-01,54
2023-07-01,58
2023-08-01,59
2023-09-01,62
2023-10-01,58
2023-11-01,60
2023-12-01,59
2024-01-01,70
2024-02-01,67
2024-03-01,61
2024-04-01,59
2024-05-01,61
2024-06-01,63
2024-07-01,71
