index,"Farm, fishing and intermediate food products",Farm and fishing products,Intermediate food products,"Food, beverage and tobacco products"
2017-01-01,18832.0,15288.0,3543.0,28887.0
2017-02-01,,,,
2017-03-01,,,,
2017-04-01,18993.0,15372.0,3623.0,29334.0
2017-05-01,,,,
2017-06-01,,,,
2017-07-01,20414.0,16749.0,3659.0,29355.0
2017-08-01,,,,
2017-09-01,,,,
2017-10-01,21097.0,17514.0,3587.0,29632.0
2017-11-01,,,,
2017-12-01,,,,
2018-01-01,21087.0,17412.0,3672.0,28969.0
2018-02-01,,,,
2018-03-01,,,,
2018-04-01,21098.0,17490.0,3612.0,29428.0
2018-05-01,,,,
2018-06-01,,,,
2018-07-01,21373.0,17942.0,3460.0,29185.0
2018-08-01,,,,
2018-09-01,,,,
2018-10-01,22147.0,18684.0,3504.0,29128.0
2018-11-01,,,,
2018-12-01,,,,
2019-01-01,21039.0,17546.0,3512.0,29665.0
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,21533.0,17815.0,3728.0,29965.0
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,21480.0,17916.0,3580.0,30053.0
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,20805.0,17261.0,3556.0,29450.0
2019-11-01,,,,
2019-12-01,,,,
2020-01-01,21351.0,17627.0,3732.0,29966.0
2020-02-01,,,,
2020-03-01,,,,
2020-04-01,20115.0,16450.0,3664.0,29071.0
2020-05-01,,,,
2020-06-01,,,,
2020-07-01,21608.0,17526.0,4072.0,29871.0
2020-08-01,,,,
2020-09-01,,,,
2020-10-01,22356.0,18091.0,4252.0,30524.0
2020-11-01,,,,
2020-12-01,,,,
2021-01-01,23412.0,19488.0,3964.0,30170.0
2021-02-01,,,,
2021-03-01,,,,
2021-04-01,23000.0,18816.0,4192.0,29930.0
2021-05-01,,,,
2021-06-01,,,,
2021-07-01,23152.0,18889.0,4268.0,29104.0
2021-08-01,,,,
2021-09-01,,,,
2021-10-01,24250.0,19800.0,4456.0,29641.0
2021-11-01,,,,
2021-12-01,,,,
2022-01-01,24570.0,19658.0,4896.0,30133.0
2022-02-01,,,,
2022-03-01,,,,
2022-04-01,25101.0,20150.0,4940.0,31559.0
2022-05-01,,,,
2022-06-01,,,,
2022-07-01,23203.0,18564.0,4624.0,30695.0
2022-08-01,,,,
2022-09-01,,,,
2022-10-01,21264.0,16651.0,4576.0,29848.0
2022-11-01,,,,
2022-12-01,,,,
2023-01-01,23426.0,19087.0,4384.0,29698.0
2023-02-01,,,,
2023-03-01,,,,
2023-04-01,22229.0,17876.0,4356.0,29150.0
