Date,Total index
1986-01-01,72.2
1986-02-01,73.1
1986-03-01,71.4
1986-04-01,70.4
1986-05-01,72.3
1986-06-01,75.4
1986-07-01,78.6
1986-08-01,81.2
1986-09-01,81.2
1986-10-01,78.3
1986-11-01,79.5
1986-12-01,78.7
1987-01-01,75.8
1987-02-01,76.5
1987-03-01,74.2
1987-04-01,75.8
1987-05-01,78.0
1987-06-01,79.5
1987-07-01,83.3
1987-08-01,81.6
1987-09-01,80.2
1987-10-01,78.3
1987-11-01,74.9
1987-12-01,76.0
1988-01-01,74.9
1988-02-01,75.9
1988-03-01,74.3
1988-04-01,73.6
1988-05-01,75.8
1988-06-01,76.4
1988-07-01,75.9
1988-08-01,77.6
1988-09-01,77.6
1988-10-01,76.4
1988-11-01,75.8
1988-12-01,76.9
1989-01-01,76.2
1989-02-01,77.4
1989-03-01,76.7
1989-04-01,76.8
1989-05-01,76.8
1989-06-01,78.3
1989-07-01,80.3
1989-08-01,79.9
1989-09-01,79.2
1989-10-01,80.2
1989-11-01,79.9
1989-12-01,78.7
1990-01-01,76.8
1990-02-01,77.6
1990-03-01,79.1
1990-04-01,79.6
1990-05-01,83.2
1990-06-01,83.8
1990-07-01,83.4
1990-08-01,84.2
1990-09-01,82.5
1990-10-01,82.6
1990-11-01,81.5
1990-12-01,80.3
1991-01-01,79.6
1991-02-01,81.2
1991-03-01,80.2
1991-04-01,79.7
1991-05-01,80.2
1991-06-01,80.8
1991-07-01,76.6
1991-08-01,80.0
1991-09-01,77.8
1991-10-01,78.0
1991-11-01,76.7
1991-12-01,77.1
1992-01-01,73.8
1992-02-01,75.8
1992-03-01,74.9
1992-04-01,75.9
1992-05-01,76.2
1992-06-01,77.3
1992-07-01,77.3
1992-08-01,79.5
1992-09-01,80.3
1992-10-01,79.7
1992-11-01,79.8
1992-12-01,80.6
1993-01-01,79.7
1993-02-01,81.2
1993-03-01,81.0
1993-04-01,80.4
1993-05-01,80.8
1993-06-01,81.8
1993-07-01,81.6
