timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,207.06548,199.85345,202.40286,203.84024,205.88824,209.28989,210.8333,212.31786,219.00592
2023-09-01,206.60399,198.20633,201.01085,202.49149,204.72502,209.15457,211.15918,212.62195,220.58957
2023-10-01,207.1551,197.94925,200.98961,202.2011,204.84569,209.80814,212.24889,214.14645,222.50569
2023-11-01,207.9075,197.47447,200.81119,201.86763,205.09969,210.72696,213.48605,216.12425,224.67012
2023-12-01,208.46892,195.87024,199.82803,200.86597,204.96864,211.71399,214.86877,218.4739,227.2724
2024-01-01,211.8387,198.06987,202.69719,205.27129,208.39053,215.34828,219.51788,224.00958,232.54036
2024-02-01,212.64575,198.802,203.54314,205.9542,209.20645,216.22046,220.97963,225.68701,236.16124
2024-03-01,213.58119,199.24438,204.27701,206.59813,210.06624,217.27763,222.49814,227.41626,239.33853
2024-04-01,214.51361,199.63412,204.90482,207.1649,210.92471,218.26517,223.85173,228.83548,241.78572
2024-05-01,215.39706,200.03923,205.46228,207.6763,211.71895,219.14935,225.02518,229.98209,243.65288
2024-06-01,216.13687,200.38466,205.89828,208.09375,212.32166,219.91216,225.98912,230.89088,245.12543
2024-07-01,216.61147,200.60803,206.1544,208.37486,212.62306,220.5223,226.67532,231.53603,246.2908
2024-08-01,216.75357,200.63564,206.18874,208.47084,212.6102,221.01,227.09712,231.95952,247.27641
2024-09-01,216.90857,200.42165,206.13321,208.34024,212.60992,221.74124,227.86652,232.83865,248.44218
2024-10-01,217.81006,200.63112,206.57495,208.40767,213.17331,223.05397,229.56699,234.7392,249.57986
2024-11-01,218.70494,200.62016,206.84421,208.37402,213.62617,224.3343,231.1796,236.62138,250.502
2024-12-01,219.01578,198.75766,205.7825,207.13577,213.23212,225.42896,232.70366,238.68625,252.03162
2025-01-01,220.73622,197.67703,204.99533,208.17686,213.9476,227.03433,236.07892,243.15096,256.62744
