timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,172.05602,160.97354,166.53326,167.87114,169.95186,173.57852,174.86798,178.83722,185.6233
2022-09-01,172.7307,160.87032,166.8037,168.50842,170.59186,174.38646,175.58157,178.98157,185.6995
2022-10-01,173.37645,160.89394,166.9644,168.99857,171.1319,175.20712,176.40433,179.27477,185.60757
2022-11-01,174.00194,160.95456,167.02985,169.31166,171.58415,176.06502,177.35568,179.68936,185.34763
2022-12-01,174.55322,160.987,166.98038,169.41197,171.9115,176.86462,178.34322,180.13925,184.95578
2023-01-01,175.15082,163.82066,169.19888,170.5745,172.3989,177.47137,180.54056,181.68631,184.04518
2023-02-01,175.44937,163.76764,169.18526,170.71106,172.67044,177.89206,180.85883,181.79407,183.89897
2023-03-01,175.65248,163.63322,169.04387,170.74992,172.84207,178.20552,181.10045,181.89314,183.80191
2023-04-01,175.7922,163.45845,168.84473,170.71996,172.94641,178.43793,181.27733,181.98572,183.73552
2023-05-01,175.88919,163.2675,168.62778,170.6389,173.00047,178.60509,181.39673,182.06947,183.69139
2023-06-01,175.95335,163.06615,168.39958,170.51146,173.01112,178.72203,181.47536,182.14078,183.65918
2023-07-01,175.98857,162.8521,168.15457,170.34431,172.98413,178.80347,181.52745,182.19424,183.62686
2023-08-01,175.99681,162.62466,167.89156,170.15074,172.92674,178.86192,181.55846,182.22314,183.58607
2023-09-01,175.97961,162.3858,167.61447,169.94543,172.84647,178.90631,181.56824,182.22243,183.53256
2023-10-01,175.93826,162.13828,167.3275,169.73724,172.74805,178.9411,181.55608,182.19174,183.4638
2023-11-01,175.87369,161.88362,167.0319,169.52698,172.63211,178.96683,181.52275,182.13565,183.37776
2023-12-01,175.78618,161.62009,166.72539,169.31035,172.4961,178.98203,181.4698,182.06085,183.27347
2024-01-01,175.487,163.64397,168.15572,169.68695,172.15924,178.42496,182.13832,182.52724,182.40471
