timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,145.98291,144.53279,145.00743,145.14157,145.51813,146.47433,146.73172,147.16322,147.95706
2021-09-01,146.2074,144.73381,145.26564,145.36786,145.75081,146.75803,147.06557,147.44882,148.21254
2021-10-01,146.40198,144.86705,145.45071,145.51187,145.94437,146.99507,147.3421,147.67688,148.4208
2021-11-01,146.5681,144.98938,145.62317,145.65619,146.12595,147.1874,147.55359,147.84987,148.58568
2021-12-01,146.72269,145.14288,145.80743,145.82433,146.30948,147.35231,147.72304,147.99622,148.7198
2022-01-01,147.48521,145.8709,146.63113,146.66406,147.08138,148.03026,148.33095,148.59555,149.06972
2022-02-01,148.34528,146.56958,147.37215,147.42493,147.86017,148.94382,149.3413,149.5469,150.21179
2022-03-01,148.99161,147.0567,147.86778,147.95152,148.43088,149.56668,149.99121,150.1051,150.91608
2022-04-01,149.44339,147.40427,148.1999,148.32753,148.84352,149.97307,150.3867,150.43866,151.30429
2022-05-01,149.80064,147.71558,148.48524,148.6779,149.20966,150.30661,150.70161,150.73868,151.55745
2022-06-01,150.15416,148.02931,148.78593,149.0648,149.60547,150.65202,151.02386,151.06807,151.7867
2022-07-01,150.508,148.32106,149.08618,149.462,150.01257,151.00682,151.35298,151.4204,152.03044
2022-08-01,150.83908,148.57103,149.36105,149.83179,150.39297,151.34613,151.66472,151.7782,152.29633
2022-09-01,151.12457,148.77339,149.60004,150.15419,150.72284,151.64696,151.93451,152.11113,152.55846
2022-10-01,151.33757,148.9233,149.78932,150.40596,150.97783,151.88315,152.13988,152.38132,152.77637
2022-11-01,151.46602,149.02008,149.91936,150.57353,151.14577,152.04025,152.27103,152.56671,152.92632
2022-12-01,151.52261,149.0724,149.99612,150.6672,151.23822,152.12634,152.33615,152.67252,153.01112
2023-01-01,152.43825,149.65715,150.71806,151.38174,151.95259,152.96411,153.24944,154.0303,154.26707
