timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,158.37779,144.25293,150.14767,152.40846,155.46852,161.28705,164.3471,166.6079,172.50264
2019-09-01,153.93706,138.21483,145.29213,147.79434,151.00629,156.86783,160.07977,162.58197,169.65929
2019-10-01,154.08824,136.64998,144.8293,147.58981,151.02673,157.14973,160.58665,163.34717,171.5265
2019-11-01,154.05867,138.34326,145.31271,147.81766,151.0679,157.04944,160.2997,162.80463,169.77408
2019-12-01,154.41823,139.35492,146.01462,148.4163,151.53946,157.297,160.42014,162.82184,169.48154
2020-01-01,155.27438,138.89691,145.88931,148.50754,151.99667,158.55208,162.04121,164.65944,171.65184
2020-02-01,155.82552,135.78528,144.56808,147.7658,151.95001,159.70102,163.88524,167.08295,175.86575
2020-03-01,150.44724,130.62459,139.41682,142.57639,146.6756,154.21886,158.31807,161.47763,170.26987
2020-04-01,149.95319,131.31813,139.84016,142.80046,146.55672,153.34966,157.1059,160.06621,168.58824
2020-05-01,155.3294,135.70563,145.16153,148.25409,152.02527,158.63354,162.40472,165.49728,174.95319
2020-06-01,153.46992,133.88646,143.06746,146.16779,150.02924,156.91061,160.77208,163.8724,173.0534
2020-07-01,152.95164,134.38129,142.38474,145.3517,149.27994,156.62335,160.55157,163.51854,171.522
2020-08-01,152.89726,133.67557,142.09917,145.16626,149.17976,156.61476,160.62823,163.69534,172.11896
2020-09-01,160.25198,140.08897,148.73065,151.95328,156.23651,164.26747,168.55069,171.77332,180.415
2020-10-01,152.00395,131.47316,139.94669,143.23419,147.71732,156.29059,160.77371,164.0612,172.53473
2020-11-01,146.8011,126.350716,134.79419,138.06876,142.53317,151.06902,155.53343,158.80801,167.25148
2020-12-01,154.28995,134.13263,142.47594,145.70331,150.09598,158.48392,162.87659,166.10396,174.44728
2021-01-01,156.26297,135.92506,144.2907,147.54767,151.9992,160.52673,164.97827,168.23523,176.60088
