timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,138.77202,101.92483,123.13596,128.63145,134.36205,143.18199,148.91258,154.40807,175.61922
2018-09-01,139.82414,97.96019,121.96406,128.21921,134.7677,144.8806,151.42908,157.68422,181.6881
2018-10-01,142.91878,102.53562,125.70936,131.74098,138.05035,147.7872,154.09654,160.12819,183.30193
2018-11-01,142.58073,98.05413,123.568405,130.22334,137.19478,147.9667,154.93813,161.59308,187.10736
2018-12-01,142.75194,98.29248,123.77877,130.42242,137.3792,148.12468,155.08145,161.72511,187.2114
2019-01-01,143.31137,99.494446,124.68904,131.2275,138.05339,148.56937,155.39526,161.9337,187.12831
2019-02-01,144.47383,97.65139,124.5209,131.51424,138.8294,150.11824,157.43343,164.42674,191.29626
2019-03-01,143.82675,95.74249,123.29335,130.48026,138.00949,149.64401,157.17325,164.36015,191.91103
2019-04-01,141.45102,90.97795,119.86899,127.416336,135.33092,147.57114,155.4857,163.03307,191.92409
2019-05-01,141.71054,92.50578,120.628624,127.99131,135.72371,147.69736,155.42975,162.79245,190.91528
2019-06-01,140.66853,89.22686,118.66281,126.35612,134.42636,146.9107,154.98094,162.67426,192.11021
2019-07-01,140.35637,85.21973,116.84065,125.07815,133.7001,147.01263,155.6346,163.8721,195.49301
2019-08-01,141.2431,86.65802,117.88735,126.05141,134.61688,147.86931,156.43477,164.59883,195.82817
2019-09-01,143.965,86.16712,119.219284,127.86567,136.94135,150.98865,160.06433,168.71072,201.76288
2019-10-01,145.85312,87.61293,121.00229,129.70482,138.81662,152.88963,162.0014,170.70396,204.09332
2019-11-01,145.1877,86.88731,120.32519,129.03505,138.15073,152.22466,161.34033,170.05019,203.48808
2019-12-01,145.66168,87.238075,120.73227,129.46225,138.60287,152.72049,161.86111,170.59111,204.0853
2020-01-01,142.85695,83.92496,117.75246,126.5534,135.757,149.9569,159.16049,167.96144,201.78894
