timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,176.53957,161.41354,166.32921,169.34352,172.75499,179.61954,182.7575,185.52553,193.88913
2022-09-01,176.4006,159.26978,164.54807,167.5502,171.8895,180.29617,184.32741,187.64374,197.41296
2022-10-01,175.03928,157.04242,162.04285,165.24484,170.28773,179.81229,184.38574,188.34088,198.90645
2022-11-01,173.38867,155.21538,159.74396,163.08551,168.54979,178.72324,183.61359,187.94067,198.57796
2022-12-01,172.10991,154.03636,158.207,161.52798,167.18765,177.65794,182.75742,187.18326,197.68623
2023-01-01,174.80896,155.64398,161.31317,164.10876,169.33784,179.72275,184.88548,188.16063,196.32976
2023-02-01,175.23598,155.72931,161.36334,164.27377,169.63582,180.14656,185.39581,188.66022,197.13612
2023-03-01,175.64005,155.82463,161.43365,164.4504,169.92134,180.54541,185.85286,189.11673,197.87688
2023-04-01,176.00856,155.90923,161.50179,164.6338,170.17381,180.91548,186.26733,189.5282,198.56071
2023-05-01,176.3074,155.95174,161.53104,164.7762,170.35596,181.2289,186.61945,189.88654,199.17543
2023-06-01,176.4935,155.92583,161.48524,164.82103,170.43013,181.44604,186.87617,190.16888,199.70628
2023-07-01,176.50752,155.79822,161.31213,164.69005,170.35007,181.50882,186.99295,190.3423,200.14682
2023-08-01,176.27441,155.52782,160.9307,164.2858,170.06299,181.34602,186.9223,190.37491,200.49263
2023-09-01,175.6852,155.06018,160.21373,163.50607,169.50754,180.89214,186.61336,190.23335,200.64
2023-10-01,174.62244,154.31104,159.03905,162.28043,168.6223,180.08772,186.02032,189.84537,200.29832
2023-11-01,173.26468,153.38513,157.64796,160.85199,167.55208,179.04454,185.24275,189.1941,199.33344
2023-12-01,172.18645,152.7207,156.67354,159.81523,166.71176,178.14603,184.54272,188.49255,198.254
2024-01-01,174.55882,154.60526,159.98404,162.91525,168.90324,180.08127,185.9324,189.09407,196.82555
