timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,161.71637,148.77937,153.533,156.3933,158.99106,164.56697,166.93918,170.64586,179.75684
2019-09-01,161.16148,146.4239,152.03471,154.84232,157.9663,164.80081,168.34825,172.66101,182.28423
2019-10-01,159.8346,143.89236,150.0226,152.66214,156.32982,164.27763,168.69849,173.72011,183.71802
2019-11-01,158.85762,142.07855,148.46176,151.05331,154.97107,164.17099,169.07596,175.15036,185.29424
2019-12-01,158.12442,140.23567,146.82117,149.61974,153.6979,164.47003,169.71246,177.14484,187.47311
2020-01-01,161.84297,140.21683,147.38284,149.60538,155.85709,169.10023,177.4038,185.47629,196.36018
2020-02-01,162.63496,140.34567,147.51039,150.30798,156.01785,170.15558,178.69743,187.36227,198.8089
2020-03-01,163.12488,139.77002,147.10172,150.37749,155.9252,170.91487,179.64088,188.80396,201.03516
2020-04-01,163.41638,139.02611,146.56377,150.26341,155.74992,171.45338,180.33144,189.92546,202.89383
2020-05-01,163.60611,138.39015,146.0906,150.1735,155.57527,171.8674,180.85631,190.83315,204.3276
2020-06-01,163.69069,137.86345,145.67209,150.10141,155.38838,172.19028,181.26184,191.60132,205.36038
2020-07-01,163.63835,137.37677,145.2499,149.9837,155.1556,172.42038,181.56363,192.26212,206.02728
2020-08-01,163.36847,136.73825,144.67422,149.67207,154.7887,172.49765,181.73737,192.81123,206.41914
2020-09-01,162.55078,135.26535,143.41808,148.66736,153.9559,172.17816,181.62471,193.1842,206.7554
2020-10-01,160.74976,132.37215,140.98471,146.41534,152.24333,171.05763,180.7995,192.96854,206.78061
2020-11-01,159.12193,130.50049,139.26328,144.5116,150.76077,169.79117,179.43518,191.90839,205.53635
2020-12-01,158.34721,130.21912,138.82094,143.85812,150.1689,169.04936,178.36441,190.84402,203.96524
2021-01-01,163.46149,135.03993,142.5313,145.47415,154.32474,173.01788,183.92065,193.76286,205.04333
