timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,161.50891,149.59544,154.3893,156.25557,158.8164,163.47223,166.00938,167.23123,174.01184
2022-09-01,161.14401,149.12585,153.75275,155.788,158.077,163.48703,166.19339,167.96585,174.58963
2022-10-01,160.4622,148.14948,152.47162,154.71008,156.9749,163.09154,165.91124,168.45233,174.86461
2022-11-01,159.6802,146.22112,150.3792,152.89377,155.60489,162.69498,165.95486,169.42722,175.78043
2022-12-01,158.60173,143.60927,147.69893,150.5093,153.90955,162.11404,166.15747,170.70865,176.96912
2023-01-01,162.01555,144.93535,149.71075,151.76237,156.9404,166.17867,171.9057,174.5521,180.43954
2023-02-01,162.20695,144.7652,149.74011,152.09637,157.08748,166.50752,172.1387,174.85147,181.28384
2023-03-01,162.32875,144.6298,149.7562,152.32051,157.14749,166.70958,172.25903,175.0843,181.8771
2023-04-01,162.3695,144.4883,149.71765,152.44925,157.12025,166.79254,172.27365,175.26718,182.34622
2023-05-01,162.32999,144.33418,149.61836,152.496,157.02,166.77016,172.18893,175.40869,182.7117
2023-06-01,162.20383,144.14218,149.43428,152.44115,156.84424,166.64749,172.01498,175.52013,182.96786
2023-07-01,161.969,143.83788,149.09401,152.20743,156.55719,166.41393,171.76482,175.621,183.09639
2023-08-01,161.58621,143.32143,148.50235,151.68599,156.10231,166.03918,171.4411,175.70961,183.04102
2023-09-01,161.08147,142.65184,147.72873,150.93564,155.52196,165.52832,171.02812,175.68622,182.71078
2023-10-01,160.62686,142.11263,147.08253,150.2834,155.03012,165.01349,170.56125,175.44977,182.14938
2023-11-01,160.33717,141.8426,146.7203,149.90886,154.74501,164.60803,170.10646,175.05379,181.52643
2023-12-01,160.17928,141.77345,146.56767,149.74193,154.61034,164.30359,169.68353,174.59094,180.92523
2024-01-01,162.76695,144.27356,149.28065,151.30705,157.32077,166.66484,172.61337,174.22879,179.36227
