timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,195.0685,178.82639,185.27629,188.90063,191.97247,196.44078,198.05017,201.0245,215.27486
2022-09-01,194.88054,178.95067,185.28348,188.58394,191.50912,196.48256,198.5077,201.44287,215.48009
2022-10-01,194.67213,178.27122,184.53165,187.78262,190.85226,196.65514,199.19655,202.18457,216.34343
2022-11-01,194.56822,176.98523,183.1134,186.53745,190.05344,197.19942,200.50934,203.9231,218.01738
2022-12-01,194.43677,175.08237,181.01302,184.83247,189.03282,197.99373,202.39133,206.51822,220.35252
2023-01-01,198.50893,177.46893,183.22917,185.7537,191.81961,204.3127,211.53963,215.73438,223.45964
2023-02-01,199.07771,175.78735,181.83586,185.20317,191.91632,205.51411,213.50108,217.9522,226.01543
2023-03-01,199.28856,174.36156,180.52766,184.57838,191.74684,206.17444,214.76453,219.57605,227.6368
2023-04-01,199.31349,173.41837,179.57666,184.14423,191.53154,206.39296,215.35297,220.45218,228.49171
2023-05-01,199.36565,172.879,178.99426,183.97226,191.43782,206.41791,215.52988,220.77197,228.92276
2023-06-01,199.48117,172.52875,178.61325,183.94821,191.4464,206.37354,215.49799,220.76427,229.1518
2023-07-01,199.6088,172.25473,178.31905,183.97363,191.49089,206.28416,215.35059,220.57489,229.2577
2023-08-01,199.69934,172.02625,178.06604,184.00177,191.52402,206.14963,215.13193,220.29044,229.27184
2023-09-01,199.73338,171.83998,177.84029,184.01462,191.52588,205.97206,214.86984,219.96147,229.21634
2023-10-01,199.71355,171.69032,177.63396,184.00525,191.49347,205.75877,214.58234,219.61313,229.10869
2023-11-01,199.64687,171.56267,177.43471,183.96732,191.42711,205.51624,214.2793,219.25652,228.9635
2023-12-01,199.53609,171.43256,177.2233,183.89015,191.3231,205.24716,213.96477,218.89642,228.79416
2024-01-01,201.05203,174.69821,179.89606,183.77654,193.14572,207.38026,216.91754,220.39488,224.10115
