timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,146.11618,143.79594,145.12836,145.46397,145.9592,146.36241,146.54321,146.98793,150.18567
2018-09-01,146.30977,143.91837,145.20166,145.51666,146.02603,146.75215,147.1191,147.74947,151.14465
2018-10-01,146.39243,143.76651,145.08795,145.44167,145.96643,146.96721,147.45805,148.15462,151.77417
2018-11-01,146.38658,143.49947,144.89691,145.2893,145.83124,147.06812,147.64511,148.3734,152.21426
2018-12-01,146.34235,143.17274,144.66687,145.07939,145.6609,147.11975,147.78047,148.54942,152.59317
2019-01-01,146.78139,143.27402,144.81665,145.40512,145.96625,147.72624,148.82532,149.788,152.66972
2019-02-01,146.96916,142.88524,144.52493,145.21454,146.00397,148.09274,149.41016,150.51068,153.96935
2019-03-01,147.27112,142.67906,144.45712,145.20045,146.1597,148.57976,150.09695,151.3454,155.22583
2019-04-01,147.61742,142.59154,144.52596,145.30115,146.37122,149.12346,150.82054,152.20937,156.39832
2019-05-01,147.93513,142.54965,144.6208,145.42331,146.56947,149.61649,151.46835,152.97859,157.37761
2019-06-01,148.18924,142.51091,144.68188,145.50024,146.7175,150.01,152.00064,153.62263,158.14763
2019-07-01,148.38132,142.46469,144.70204,145.51616,146.81401,150.31168,152.43771,154.17188,158.75458
2019-08-01,148.51465,142.4013,144.68231,145.48332,146.86569,150.53517,152.79181,154.6411,159.24518
2019-09-01,148.58946,142.3158,144.62466,145.41527,146.87573,150.68533,153.06065,155.02429,159.64624
2019-10-01,148.61453,142.21558,144.53918,145.32451,146.85072,150.7737,153.25238,155.3246,159.9703
2019-11-01,148.59952,142.10384,144.4323,145.21793,146.79652,150.81613,153.38362,155.55685,160.22958
2019-12-01,148.54176,141.96458,144.2926,145.08797,146.70709,150.82349,153.46857,155.73918,160.43892
2020-01-01,149.3539,141.62993,144.2006,145.39932,147.14043,152.07927,155.38405,158.0414,161.99844
