timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,157.39156,154.56546,155.74023,156.03288,156.80228,157.97017,158.64728,158.93607,160.06416
2021-09-01,157.09657,154.0377,155.226,155.62383,156.47832,157.88054,158.83678,159.3432,160.7728
2021-10-01,157.0694,153.56555,154.90942,155.45883,156.33063,157.99881,159.12076,159.74321,161.40404
2021-11-01,157.36218,153.04573,154.69885,155.49887,156.4017,158.43776,159.6685,160.37564,162.27727
2021-12-01,157.57181,152.31677,154.27728,155.38278,156.40019,158.8196,160.18234,161.04272,163.1228
2022-01-01,157.6881,152.84203,154.49971,155.42334,156.62677,159.02628,160.72115,161.66084,162.87111
2022-02-01,157.68103,152.72908,154.37526,155.35083,156.64183,159.01282,160.7554,161.71027,163.19455
2022-03-01,157.72968,152.63261,154.27565,155.30646,156.68257,159.03796,160.80762,161.77441,163.47707
2022-04-01,157.8766,152.60182,154.28136,155.37071,156.79672,159.16925,160.9522,161.9279,163.83244
2022-05-01,158.0913,152.62373,154.36978,155.51477,156.9588,159.37935,161.17082,162.1595,164.25856
2022-06-01,158.3593,152.7014,154.53267,155.72246,157.15416,159.65495,161.45493,162.46703,164.7497
2022-07-01,158.7034,152.91327,154.84,156.0404,157.40665,160.01912,161.82594,162.86945,165.33768
2022-08-01,159.00739,153.55743,155.47437,156.54216,157.69691,160.29915,162.05748,163.09239,165.78017
2022-09-01,158.32654,153.80714,155.38,156.23709,157.2355,159.61267,161.37318,162.47012,165.26788
2022-10-01,158.32074,153.42488,155.07181,155.92279,157.08014,159.79109,161.71182,162.9678,165.74228
2022-11-01,159.22202,152.58917,154.7876,155.95851,157.46388,161.12471,163.28465,164.80965,167.66597
2022-12-01,159.50317,151.76479,154.18893,155.64061,157.45668,161.78195,164.18684,165.99165,168.95663
2023-01-01,160.25887,152.5955,154.70235,156.25069,158.34969,162.95845,165.61066,167.37753,169.83473
