timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,149.93822,139.32924,144.26959,145.13432,148.03726,150.95308,153.11693,155.66183,158.55713
2019-09-01,149.79872,139.0774,143.90916,144.79152,147.66454,150.86775,153.21373,155.5537,158.73941
2019-10-01,149.76392,138.91081,143.64632,144.58908,147.42761,150.87135,153.27618,155.46864,158.79942
2019-11-01,149.7599,138.82217,143.45174,144.44836,147.2461,150.88419,153.28326,155.37526,158.77802
2019-12-01,149.74475,138.78334,143.2886,144.30988,147.07283,150.86586,153.24309,155.2634,158.71005
2020-01-01,150.6785,138.9743,145.36186,147.6455,149.49197,151.97528,154.13402,156.08443,158.47762
2020-02-01,150.80222,138.94533,145.36194,147.64932,149.53053,152.14886,154.17317,156.12398,158.55885
2020-03-01,150.88719,138.90314,145.3239,147.6093,149.52657,152.28409,154.21693,156.15526,158.62689
2020-04-01,150.9693,138.84811,145.30418,147.56999,149.53403,152.43156,154.29593,156.17758,158.65327
2020-05-01,151.05502,138.78342,145.30074,147.53369,149.55342,152.59506,154.40738,156.18784,158.63843
2020-06-01,151.11996,138.72955,145.25256,147.45062,149.5267,152.71292,154.48865,156.18452,158.62724
2020-07-01,151.15878,138.69586,145.15353,147.31503,149.44724,152.77226,154.51724,156.16689,158.63269
2020-08-01,151.1862,138.67987,145.03734,147.15694,149.3478,152.80432,154.51503,156.12997,158.63213
2020-09-01,151.21725,138.68147,144.9296,147.00227,149.25388,152.8357,154.50314,156.07262,158.60645
2020-10-01,151.26305,138.70312,144.84576,146.86816,149.18138,152.88298,154.4954,155.99654,158.54572
2020-11-01,151.3273,138.74571,144.79234,146.76175,149.1362,152.9526,154.49901,155.90501,158.44727
2020-12-01,151.39948,138.80421,144.7616,146.67372,149.10732,153.03316,154.51097,155.8028,158.3195
2021-01-01,151.81532,139.26785,146.4271,149.15454,150.72987,153.30278,154.80675,155.82613,157.31151
