timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,192.63062,178.63791,184.15411,185.63382,189.8975,195.5683,199.24556,202.00932,213.0528
2023-09-01,192.1219,177.87518,183.27397,184.97789,189.06577,195.73947,198.65016,202.24165,212.57817
2023-10-01,192.2316,176.9174,182.47902,184.12971,188.59444,196.17548,199.26308,203.08455,212.94505
2023-11-01,193.5972,176.58966,182.41869,183.92581,189.23752,197.53787,201.77528,205.26471,214.95744
2023-12-01,194.73952,175.94122,182.15929,183.73608,189.76904,198.69992,203.9151,207.2317,216.60019
2024-01-01,199.81557,180.51413,187.14964,188.77075,194.75633,206.42836,212.38446,219.45143,229.1114
2024-02-01,199.60336,180.52184,186.85683,189.59315,194.57147,206.63206,212.35349,220.36089,230.05746
2024-03-01,199.09552,180.60028,186.767,189.82559,194.20712,206.21446,211.47559,219.59409,229.34814
2024-04-01,198.85492,180.85112,186.87834,189.98708,194.14224,205.90247,211.00778,218.86267,228.61942
2024-05-01,199.0291,181.17036,187.10886,190.23181,194.37991,206.01628,211.21373,218.82997,228.49469
2024-06-01,199.59161,181.48973,187.38078,190.54904,194.85065,206.60327,212.08484,219.63065,229.10977
2024-07-01,200.23602,181.60394,187.48149,190.70848,195.27977,207.41412,213.26897,220.92464,230.166
2024-08-01,200.22342,180.9353,186.862,190.19449,194.9794,207.86714,213.83626,221.82135,230.89139
2024-09-01,198.84464,178.72949,184.82599,188.54941,193.25586,207.48169,212.89105,221.54962,230.55972
2024-10-01,198.51277,177.42003,183.60587,187.50453,192.6631,207.67596,213.54147,222.10812,230.98297
2024-11-01,199.0664,176.975,183.26775,186.66602,192.84265,208.01877,215.03992,222.71829,231.44604
2024-12-01,198.92886,175.82097,182.39658,185.35725,192.32283,207.81377,215.4604,222.69925,231.09573
2025-01-01,207.82631,180.28432,187.46637,192.61713,199.83891,219.83334,230.9043,240.93024,249.2735
