timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2025-09-01,177.258,172.947,174.004,174.878,176.187,179.411,179.905,181.128,182.676
2025-10-01,177.763,172.368,173.836,174.75,176.482,179.856,180.818,182.219,183.901
2025-11-01,179.528,173.162,175.119,176.108,178.189,181.537,182.833,184.141,185.929
2025-12-01,180.803,173.428,175.757,176.798,179.197,182.821,184.524,185.759,187.771
2026-01-01,182.325,177.984,179.242,180.109,181.132,184.45,186.23,186.399,188.046
2026-02-01,184.957,179.237,180.895,181.658,183.159,187.307,189.102,189.745,192.554
2026-03-01,185.68,179.519,181.291,182.055,183.732,188.076,190.034,190.769,194.044
2026-04-01,186.126,179.643,181.594,182.412,184.137,188.601,190.732,191.514,195.031
2026-05-01,186.598,179.833,181.967,182.852,184.586,189.166,191.377,192.201,195.842
2026-06-01,187.019,180.122,182.358,183.293,185.016,189.616,191.758,192.614,196.213
2026-07-01,187.196,180.202,182.488,183.469,185.195,189.762,191.735,192.658,196.083
2026-08-01,187.122,179.559,182.035,183.094,184.967,189.707,191.575,192.759,196.092
2026-09-01,187.362,178.534,181.421,182.607,184.859,190.01,191.947,193.576,197.03
2026-10-01,189.019,179.133,182.525,183.837,186.536,191.633,193.626,195.472,198.884
2026-11-01,190.426,179.59,183.283,184.658,187.792,192.989,195.286,197.239,200.71
2026-12-01,191.369,180.011,183.716,185.093,188.539,193.89,196.544,198.427,201.91
