timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2025-09-01,197.311,194.52,195.338,195.774,196.502,198.12,198.849,199.284,200.102
2025-10-01,197.822,193.841,195.008,195.629,196.668,198.976,200.015,200.637,201.803
2025-11-01,198.333,193.416,194.857,195.625,196.908,199.759,201.042,201.81,203.25
2025-12-01,198.844,193.119,194.796,195.69,197.184,200.504,201.998,202.892,204.57
2026-01-01,199.355,192.9,194.791,195.799,197.484,201.227,202.911,203.919,205.81
2026-02-01,199.866,192.736,194.825,195.938,197.799,201.934,203.794,204.908,206.997
2026-03-01,200.377,192.612,194.887,196.099,198.126,202.629,204.655,205.868,208.143
2026-04-01,200.888,192.518,194.97,196.277,198.461,203.315,205.5,206.807,209.259
2026-05-01,201.399,192.448,195.07,196.468,198.804,203.995,206.331,207.729,210.351
2026-06-01,201.91,192.398,195.184,196.67,199.152,204.669,207.151,208.637,211.423
2026-07-01,202.422,192.363,195.31,196.881,199.505,205.338,207.962,209.533,212.48
2026-08-01,202.933,192.342,195.444,197.098,199.862,206.003,208.767,210.421,213.523
2026-09-01,203.444,192.332,195.587,197.322,200.222,206.665,209.565,211.3,214.555
2026-10-01,203.955,192.331,195.736,197.551,200.585,207.325,210.358,212.173,215.578
2026-11-01,204.466,192.339,195.891,197.785,200.95,207.982,211.146,213.04,216.593
2026-12-01,204.977,192.353,196.051,198.022,201.317,208.637,211.931,213.902,217.601
