timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2025-09-01,179.435,153.67,164.51,168.745,175.491,186.855,196.058,200.784,217.064
2025-10-01,178.694,154.181,162.905,167.081,173.821,185.008,194.623,199.54,216.718
2025-11-01,177.654,154.246,161.617,165.514,172.168,183.182,192.643,197.762,215.745
2025-12-01,176.758,154.286,160.899,164.461,171.076,181.737,190.793,196.107,214.58
2026-01-01,181.751,152.342,160.127,164.049,173.925,188.896,202.028,204.682,219.143
2026-02-01,180.577,151.343,160.199,163.965,173.237,188.91,200.973,205.058,219.607
2026-03-01,180.319,151.164,160.881,164.708,173.383,189.6,200.899,206.032,220.56
2026-04-01,181.316,152.075,162.168,166.24,174.572,191.062,202.175,207.79,222.043
2026-05-01,182.7,153.608,163.527,167.826,175.977,192.394,203.752,209.358,223.18
2026-06-01,183.786,155.239,164.526,168.96,176.962,193.071,204.927,210.23,223.626
2026-07-01,184.112,156.41,164.95,169.382,177.148,192.96,205.22,210.294,223.439
2026-08-01,183.827,157.074,164.999,169.298,176.758,192.364,204.77,209.798,222.857
2026-09-01,183.254,157.463,164.918,169.003,176.149,191.546,203.894,208.962,222.027
2026-10-01,182.537,157.694,164.759,168.605,175.453,190.578,202.732,207.862,221.024
2026-11-01,181.68,157.779,164.474,168.086,174.632,189.45,201.327,206.519,219.888
2026-12-01,180.505,157.625,163.92,167.304,173.432,188.06,199.607,204.831,218.584
