timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2025-09-01,191.203,182.011,186.827,188.063,189.391,192.964,193.841,195.777,199.797
2025-10-01,190.774,180.291,184.85,186.736,188.777,192.505,193.916,195.434,200.252
2025-11-01,189.816,178.465,182.784,185.166,187.819,191.785,193.699,194.916,200.232
2025-12-01,187.407,175.849,179.874,182.441,185.503,189.515,191.86,192.868,198.437
2026-01-01,194.39,185.454,188.628,190.599,192.316,196.282,199.03,200.02,205.107
2026-02-01,194.956,187.287,190.292,191.952,193.531,196.839,199.57,200.335,204.328
2026-03-01,195.414,188.147,191.153,192.641,194.18,197.229,199.913,200.738,204.074
2026-04-01,195.729,188.354,191.443,192.862,194.439,197.473,200.107,201.169,204.123
2026-05-01,195.686,188.057,191.23,192.619,194.244,197.352,199.968,201.297,204.016
2026-06-01,195.195,187.35,190.568,191.94,193.596,196.769,199.407,200.951,203.52
2026-07-01,194.349,186.41,189.628,190.984,192.659,195.819,198.515,200.2,202.658
2026-08-01,193.297,185.376,188.558,189.903,191.606,194.669,197.448,199.218,201.578
2026-09-01,192.135,184.277,187.402,188.749,190.505,193.431,196.312,198.136,200.405
2026-10-01,190.871,183.074,186.126,187.492,189.341,192.128,195.124,196.98,199.155
2026-11-01,189.468,181.729,184.675,186.087,188.071,190.716,193.835,195.708,197.764
2026-12-01,187.867,180.248,183.023,184.517,186.679,189.138,192.387,194.261,196.161
