timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,145.8975,140.90909,142.78778,144.15877,145.30995,147.04364,147.7747,148.85655,160.01973
2021-09-01,145.55333,140.25821,142.25381,143.43266,144.72783,146.5864,147.3089,148.2125,159.68289
2021-10-01,145.45633,139.92847,142.0302,143.10843,144.47417,146.40912,147.08243,147.92395,159.48386
2021-11-01,145.41006,139.74933,141.96796,142.96124,144.37628,146.34099,146.93474,147.73538,159.31808
2021-12-01,145.34814,139.5551,141.91365,142.85362,144.30515,146.30533,146.82233,147.55786,159.1666
2022-01-01,146.71027,142.8938,144.0695,145.08528,145.97499,147.61966,149.15591,150.30824,160.72723
2022-02-01,147.07826,143.11319,144.39821,145.40216,146.28691,147.9672,149.40697,150.72882,161.02423
2022-03-01,147.41887,143.25996,144.69112,145.67079,146.5853,148.33865,149.6902,151.14752,161.34164
2022-04-01,147.72789,143.32968,144.92548,145.89046,146.85509,148.71541,149.99574,151.55486,161.66098
2022-05-01,148.01219,143.33247,145.10178,146.07166,147.09778,149.09512,150.32768,151.96022,161.98065
2022-06-01,148.27618,143.2806,145.22375,146.22034,147.31267,149.47462,150.68375,152.36705,162.29478
2022-07-01,148.51462,143.18484,145.2912,146.33206,147.49005,149.83917,151.0452,152.76144,162.58398
2022-08-01,148.71516,143.0507,145.30026,146.39755,147.61597,150.16554,151.38109,153.11586,162.8218
2022-09-01,148.8676,142.87888,145.24893,146.41048,147.68137,150.43457,151.66435,153.40434,162.98752
2022-10-01,148.9684,142.66792,145.1398,146.3715,147.68648,150.63791,151.88123,153.61261,163.0727
2022-11-01,149.0181,142.41621,144.97807,146.28511,147.63683,150.77504,152.02847,153.73576,163.07817
2022-12-01,149.01663,142.12234,144.76843,146.15498,147.53786,150.84811,152.10693,153.77257,163.00893
2023-01-01,150.04224,145.00755,146.53723,147.92763,148.78722,151.78802,154.0089,155.82915,163.69113
