timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2024-08-01,167.2529,121.93656,142.21823,149.4348,158.7371,175.7687,185.07098,192.28757,212.56924
2024-09-01,194.63533,159.23979,175.49083,181.11081,188.22101,201.04965,208.15985,213.77983,230.03087
2024-10-01,192.79669,144.28427,165.27798,173.02652,183.25616,202.33723,212.56688,220.3154,241.30913
2024-11-01,192.24492,160.4723,174.5006,179.56706,186.16174,198.3281,204.92278,209.98924,224.01753
2024-12-01,187.84511,158.46706,172.30043,176.94824,182.71782,192.9724,198.74197,203.38977,217.22316
2025-01-01,183.4845,158.13039,168.60405,172.66377,178.1966,188.7724,194.3052,198.36493,208.8386
2025-02-01,177.22018,146.8885,159.51604,164.37132,170.95401,183.48636,190.06903,194.92432,207.55186
2025-03-01,181.4635,156.40172,167.5324,171.52654,176.7036,186.22339,191.40047,195.3946,206.52528
2025-04-01,164.14055,111.55138,135.20416,143.57454,154.32574,173.95534,184.70654,193.07692,216.72972
2025-05-01,177.88583,151.7207,163.32185,167.49251,172.9049,182.86674,188.27914,192.4498,204.05095
2025-06-01,181.02475,152.878,164.94061,169.43927,175.41881,186.63069,192.61021,197.10887,209.17146
2025-07-01,190.8849,135.56363,160.68439,169.4801,180.699,201.0708,212.2897,221.08543,246.20618
2025-08-01,188.97194,154.2731,168.96243,174.51236,181.95175,195.99211,203.4315,208.98145,223.67076
2025-09-01,205.77121,179.12129,190.9728,195.2195,200.71878,210.82362,216.3229,220.56961,232.42111
2025-10-01,205.61017,165.7043,183.49854,189.85588,198.07254,213.14781,221.36444,227.72182,245.51604
2025-11-01,185.45712,158.18576,169.71733,174.07956,179.93155,190.98271,196.83469,201.19693,212.72852
2025-12-01,210.59282,176.50633,191.09312,196.54167,203.79103,217.3946,224.64398,230.09251,244.6793
2026-01-01,191.3117,158.30945,173.49217,178.73077,185.3486,197.27483,203.89262,209.13126,224.31398
