timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,142.85104,136.82784,139.46246,140.21704,141.85358,144.41278,145.22626,146.25159,149.27295
2021-09-01,143.1369,137.38527,139.7529,140.63954,142.11201,144.75882,145.61415,147.01439,149.49353
2021-10-01,142.93033,137.544,139.5567,140.34294,141.90347,144.6148,145.64417,147.2048,149.30203
2021-11-01,142.74838,137.71365,139.38052,139.95825,141.70163,144.56721,145.89308,147.51648,149.3095
2021-12-01,142.71243,137.96564,139.33446,139.72672,141.63104,144.69722,146.32948,147.99522,149.50063
2022-01-01,147.1342,138.83392,142.15271,143.15129,145.70119,149.53716,151.56352,154.05449,155.72481
2022-02-01,144.33694,137.34972,140.2734,141.25395,143.08736,146.54523,147.56612,149.9091,152.91939
2022-03-01,143.58182,137.04016,139.99062,140.9121,142.28854,145.50418,146.11195,147.8341,151.54031
2022-04-01,144.10287,137.5023,140.70572,141.60364,142.71509,145.78217,146.32933,147.58429,151.56248
2022-05-01,145.37328,138.4484,141.92781,142.88484,143.88571,146.74939,147.53178,148.46683,152.3334
2022-06-01,146.42902,139.31566,142.82182,143.86224,144.89105,147.59383,148.77222,149.60861,153.07704
2022-07-01,146.47548,139.56438,142.74352,143.81839,144.99077,147.65303,149.14156,150.00038,153.0486
2022-08-01,146.13283,139.51923,142.28078,143.32529,144.71104,147.45311,149.22395,150.16043,152.7942
2022-09-01,145.77148,139.4595,141.83064,142.7756,144.36574,147.2568,149.30046,150.35095,152.57317
2022-10-01,145.48178,139.46384,141.48862,142.29857,144.05698,147.12779,149.40393,150.59503,152.43338
2022-11-01,145.29218,139.53888,141.25516,141.92642,143.82336,147.10252,149.56758,150.9127,152.39876
2022-12-01,145.11784,139.61296,141.05122,141.59544,143.59799,147.07413,149.6867,151.16565,152.34488
2023-01-01,149.54079,140.30736,143.66765,144.73233,147.53058,151.48741,154.74414,155.54405,156.6759
