timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,155.37279,128.16556,140.14854,144.18546,149.03117,163.7166,167.12007,176.98512,192.51009
2021-09-01,153.0128,126.67554,137.99484,141.0563,146.21411,161.42383,166.63013,175.89658,190.49724
2021-10-01,151.36983,125.74159,136.58505,139.00824,144.35971,159.70543,165.86438,174.58481,188.39484
2021-11-01,150.40338,125.32911,135.90231,137.91927,143.35976,158.58458,165.16304,173.51028,186.63849
2021-12-01,149.91397,125.272766,135.69,137.41946,142.8815,157.8957,164.62181,172.73283,185.29066
2022-01-01,163.33954,145.84837,153.08868,154.63359,158.58667,171.91257,181.12198,186.26266,192.71613
2022-02-01,165.45828,146.33885,155.46275,157.35579,160.86035,174.05374,182.3901,186.57822,193.55145
2022-03-01,166.35698,145.36403,156.0612,158.16418,161.65825,174.94809,182.75449,186.2094,194.0589
2022-04-01,166.56575,143.7608,155.70094,158.03702,161.6854,175.00879,182.40784,185.53287,194.21606
2022-05-01,166.17412,141.8179,154.63194,157.1169,161.06311,174.37074,181.54889,184.68509,194.04468
2022-06-01,165.22186,139.77686,153.08273,155.56711,159.88295,173.18921,180.316,183.70108,193.48485
2022-07-01,163.85385,137.86955,151.32497,153.62076,158.30605,171.65848,178.86322,182.611,192.55316
2022-08-01,162.34088,136.26898,149.64357,151.63907,156.61455,170.02692,177.32806,181.44797,191.36108
2022-09-01,160.92838,135.0348,148.2269,149.96123,155.08038,168.49475,175.78119,180.25307,190.04286
2022-10-01,159.69444,134.09917,147.07996,148.63483,153.77522,167.12596,174.28653,179.078,188.71948
2022-11-01,158.60892,133.35484,146.11905,147.5383,152.64308,165.90143,172.89355,177.95644,187.46335
2022-12-01,157.62662,132.72296,145.27148,146.56754,151.62325,164.7904,171.61809,176.90382,186.30345
2023-01-01,167.586,150.18251,157.89557,159.25586,163.31534,175.30095,184.1753,185.57419,189.97327
