timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,177.52332,146.1108,164.35081,169.01646,173.83951,181.20714,186.03018,190.69583,208.93584
2023-09-01,177.22089,134.19467,159.17635,165.56718,172.17416,182.26761,188.87457,195.26543,220.24712
2023-10-01,174.32504,135.56181,158.06909,163.82663,169.7787,178.87137,184.82344,190.581,213.08826
2023-11-01,175.6761,123.54981,153.81409,161.55673,169.56151,181.7907,189.79546,197.53812,227.8024
2023-12-01,173.02963,115.88605,149.0574,157.54602,166.32364,179.73563,188.51323,197.00186,230.17322
2024-01-01,173.60048,111.58352,147.58025,156.79326,166.32086,180.8801,190.4077,199.62071,235.61745
2024-02-01,179.98141,120.69759,155.10966,163.91644,173.02345,186.93939,196.0464,204.85318,239.26524
2024-03-01,177.52545,116.858116,152.0755,161.08751,170.40617,184.64473,193.9634,202.9754,238.19278
2024-04-01,179.68263,107.4322,149.36368,160.09756,171.19936,188.16592,199.2677,210.0016,251.93306
2024-05-01,175.90468,99.00635,143.62892,155.05414,166.87262,184.93675,196.75523,208.18044,252.80301
2024-06-01,179.29349,112.01037,151.05917,161.05507,171.39351,187.19345,197.53189,207.5278,246.5766
2024-07-01,178.87598,112.38225,150.96783,160.84709,171.06625,186.6857,196.90486,206.78412,245.3697
2024-08-01,179.70804,112.65286,151.56287,161.52573,171.83173,187.58435,197.89035,207.8532,246.76321
2024-09-01,177.7295,103.705315,146.65358,157.65256,169.03189,186.42712,197.80644,208.80544,251.75371
2024-10-01,176.98822,91.17748,140.95161,153.70348,166.89969,187.07675,200.27296,213.02483,262.79898
2024-11-01,177.82713,92.02099,141.79825,154.5487,167.74191,187.91237,201.10558,213.85602,263.63327
2024-12-01,177.7998,99.01992,144.73459,156.4393,168.54686,187.05273,199.16028,210.865,256.57968
2025-01-01,178.98854,92.067215,142.48985,155.40622,168.7715,189.20557,202.57085,215.48721,265.90985
