timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,198.25824,132.56216,169.82759,179.691,190.12683,206.38965,216.82547,226.68887,263.9543
2023-09-01,201.31235,172.9116,189.20793,193.45003,197.88783,204.73686,209.17467,213.41678,229.71309
2023-10-01,202.76248,173.80235,190.43047,194.75482,199.27574,206.24922,210.77016,215.09451,231.72261
2023-11-01,199.58853,170.84439,187.37625,191.66501,196.14122,203.03583,207.51205,211.8008,228.33266
2023-12-01,198.58707,162.39244,183.02646,188.44864,194.15744,203.01668,208.7255,214.14767,234.7817
2024-01-01,201.5863,174.72119,190.13365,194.14673,198.34564,204.82697,209.02588,213.03896,228.45142
2024-02-01,199.31819,162.73805,183.68729,189.15593,194.8878,203.74858,209.48045,214.9491,235.89833
2024-03-01,201.8117,171.92177,189.08296,193.54626,198.21263,205.41077,210.07715,214.54044,231.70163
2024-04-01,199.76561,163.98253,184.54219,189.88367,195.46419,204.06702,209.64754,214.98901,235.54868
2024-05-01,203.70111,167.96721,188.53392,193.86382,199.42267,207.97957,213.53842,218.8683,239.43503
2024-06-01,202.57402,145.42279,178.04526,186.60197,195.59981,209.54823,218.54607,227.10278,259.72525
2024-07-01,201.72156,166.18056,186.58792,191.89487,197.44286,206.00027,211.54826,216.85521,237.26257
2024-08-01,205.44432,168.05528,189.51779,195.1014,200.94022,209.94841,215.78723,221.37083,242.83334
2024-09-01,202.91083,155.1875,182.36882,189.521,197.05809,208.76357,216.30066,223.45284,250.63416
2024-10-01,205.76929,165.74962,188.68286,194.66402,200.92921,210.60938,216.87457,222.85571,245.78896
2024-11-01,203.18997,160.3624,184.95992,191.35413,198.03706,208.34286,215.02582,221.42001,246.01753
2024-12-01,200.02135,129.56322,170.02054,180.54117,191.53941,208.50328,219.50153,230.02216,270.4795
2025-01-01,204.25389,160.63486,185.69868,192.20964,199.01144,209.49632,216.29813,222.80908,247.87291
