timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,178.61372,130.2085,156.57895,163.96364,172.08107,185.1464,193.26382,200.6485,227.01895
2023-09-01,176.55777,131.91136,155.7743,162.6302,170.29762,182.8179,190.48532,197.34122,221.20416
2023-10-01,172.03593,126.10675,151.3071,158.29584,165.92778,178.1441,185.77602,192.76479,217.96513
2023-11-01,180.35953,125.03618,154.81403,163.28969,172.70915,188.0099,197.42935,205.90503,235.68286
2023-12-01,182.3741,138.13911,161.3621,168.19289,175.95396,188.79424,196.5553,203.38608,226.60907
2024-01-01,185.76814,136.71564,163.09561,170.61273,178.97336,192.56294,200.92355,208.44067,234.82066
2024-02-01,192.17613,132.22052,164.641,173.81184,183.96144,200.39082,210.54042,219.71126,252.13176
2024-03-01,186.97066,131.25037,161.47015,169.98434,179.38184,194.55946,203.95694,212.47116,242.69095
2024-04-01,187.35004,126.231804,159.53203,168.8558,179.10364,195.59642,205.84424,215.16803,248.46826
2024-05-01,184.7955,115.23444,153.25526,163.85484,175.47093,194.12007,205.73618,216.33575,254.35657
2024-06-01,190.04062,126.100334,161.2916,171.00972,181.59178,198.48946,209.0715,218.78964,253.9809
2024-07-01,191.58214,116.26595,156.9068,168.43558,181.21912,201.94516,214.7287,226.25746,266.89832
2024-08-01,190.68623,105.51062,151.65775,164.67752,179.06148,202.31099,216.69495,229.71472,275.86185
2024-09-01,182.8568,117.06646,152.02364,162.14555,173.52519,192.18839,203.56802,213.68996,248.64713
2024-10-01,185.2479,111.580086,151.13277,162.42831,175.01,195.4858,208.06744,219.36302,258.9157
2024-11-01,192.19019,118.23857,158.76985,170.02716,182.33293,202.04745,214.35323,225.61053,266.1418
2024-12-01,195.92871,123.96034,163.35435,174.31491,186.31044,205.54698,217.54251,228.50307,267.89706
2025-01-01,201.85088,133.12949,171.25,181.66336,192.91943,210.7823,222.03838,232.45174,270.57227
