timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,199.29065,170.56854,182.35797,186.95792,193.25381,205.32748,211.6234,216.22333,228.01276
2023-09-01,197.75703,170.51677,181.4813,185.84581,191.89722,203.61685,209.66826,214.03278,224.9973
2023-10-01,199.58743,166.43507,180.1383,185.44656,192.67813,206.49675,213.7283,219.03656,232.7398
2023-11-01,203.51323,178.36765,188.59119,192.61932,198.16759,208.85887,214.40712,218.43526,228.65881
2023-12-01,212.53821,186.61447,197.1361,201.28906,207.01578,218.06064,223.78734,227.9403,238.46194
2024-01-01,206.95837,183.31491,192.9251,196.71265,201.93044,211.98633,217.20412,220.99165,230.60184
2024-02-01,213.65431,185.01964,196.76547,201.3515,207.6311,219.67752,225.95712,230.54315,242.28899
2024-03-01,207.6906,181.8292,192.27518,196.41852,202.15013,213.23106,218.96268,223.10602,233.552
2024-04-01,208.85617,184.18706,194.18886,198.14091,203.59442,214.11792,219.57141,223.52347,233.52528
2024-05-01,205.65726,174.7021,187.80978,192.76088,199.39644,211.91809,218.55363,223.50473,236.61241
2024-06-01,211.55641,184.989,195.62355,199.88057,205.80437,217.30846,223.23225,227.48926,238.12383
2024-07-01,210.50568,186.48428,196.06819,199.91737,205.28511,215.72626,221.09398,224.94316,234.52707
2024-08-01,208.46826,182.72568,193.30391,197.42653,203.06493,213.87158,219.51,223.63261,234.21085
2024-09-01,211.61517,184.38548,195.26965,199.63286,205.71002,217.52031,223.59749,227.96068,238.84485
2024-10-01,210.47453,182.76324,193.8348,198.27518,204.46175,216.48732,222.67389,227.11427,238.18582
2024-11-01,208.82018,178.01508,190.59349,195.52774,202.30475,215.33559,222.1126,227.04684,239.62526
2024-12-01,208.62097,179.44754,191.454,196.12584,202.50885,214.73308,221.11609,225.78793,237.79439
2025-01-01,212.97188,184.97389,196.28532,200.77097,206.9752,218.96855,225.17279,229.65843,240.96986
