timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,143.13087,111.82778,129.8992,134.56154,139.40941,146.85236,151.70021,156.36256,174.43399
2019-09-01,142.55069,105.63643,126.982254,132.47603,138.17902,146.92236,152.62535,158.11913,179.46495
2019-10-01,143.17412,101.09943,125.45721,131.71556,138.20471,148.14351,154.63268,160.89102,185.2488
2019-11-01,143.27206,100.437325,125.22746,131.59981,138.20923,148.3349,154.94432,161.31667,186.1068
2019-12-01,143.29836,97.72323,124.1138,130.89204,137.91858,148.67813,155.70465,162.48291,188.87347
2020-01-01,144.74057,93.71312,123.281265,130.86789,138.72696,150.75418,158.61324,166.19987,195.768
2020-02-01,144.77812,90.55891,121.951706,130.01595,138.37645,151.1798,159.54028,167.60452,198.99733
2020-03-01,144.82684,90.23919,121.83956,129.9593,138.3789,151.27478,159.69437,167.81413,199.41449
2020-04-01,146.57962,91.17673,123.23385,131.47673,140.02808,153.13115,161.6825,169.9254,201.98251
2020-05-01,147.06207,91.02702,123.43327,131.77225,140.42776,153.69637,162.35188,170.69087,203.09712
2020-06-01,146.72037,90.2412,122.94907,131.34863,140.05501,153.38573,162.09209,170.49167,203.19952
2020-07-01,146.56926,84.86692,120.55605,129.73778,139.26656,153.87196,163.40074,172.58246,208.2716
2020-08-01,147.04893,80.487206,119.01712,128.91824,139.18556,154.91231,165.17961,175.08073,213.61066
2020-09-01,147.48991,78.819954,118.57001,128.78476,139.37737,155.60248,166.19508,176.40985,216.15988
2020-10-01,148.04945,77.420235,118.33243,128.83517,139.7189,156.38,167.26373,177.76648,218.67867
2020-11-01,148.27121,78.0619,118.72497,129.166,139.98737,156.55507,167.37642,177.81746,218.48055
2020-12-01,147.87842,75.717896,117.513954,128.2448,139.36575,156.39108,167.51202,178.24286,220.03894
2021-01-01,147.4535,74.222374,116.6173,127.50998,138.80432,156.10268,167.39703,178.2897,220.68465
