timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2018-08-01,159.82831,141.79663,152.24962,154.92998,157.7054,161.95122,164.72664,167.40698,177.85999
2018-09-01,160.08157,139.21985,151.30942,154.41095,157.62355,162.5396,165.75221,168.85373,180.94331
2018-10-01,159.56105,135.76445,149.5466,153.08546,156.75328,162.36882,166.03662,169.5755,183.35764
2018-11-01,159.59155,134.49539,149.0268,152.75935,156.62881,162.55428,166.42374,170.15631,184.68771
2018-12-01,159.69199,135.2107,149.38072,153.02249,156.79927,162.58472,166.36148,170.00325,184.17328
2019-01-01,159.80182,132.66212,148.38356,152.4192,156.60107,163.00253,167.1844,171.22006,186.94148
2019-02-01,160.1747,131.21175,147.99211,152.29855,156.76027,163.58913,168.05084,172.35728,189.13765
2019-03-01,159.40797,131.08714,147.48003,151.6929,156.06181,162.75414,167.12306,171.3359,187.7288
2019-04-01,160.62733,131.6576,148.4191,152.72935,157.20114,164.05353,168.5253,172.83557,189.59708
2019-05-01,159.46725,126.64798,145.65489,150.53566,155.5945,163.34001,168.39883,173.27962,192.28653
2019-06-01,160.09103,126.073814,145.77599,150.83473,156.07762,164.10443,169.34734,174.40608,194.10825
2019-07-01,157.98029,120.42584,142.18867,147.77197,153.5553,162.40527,168.1886,173.77188,195.53473
2019-08-01,160.4239,122.73117,144.55936,150.16504,155.97552,164.8723,170.68277,176.28845,198.11662
2019-09-01,161.14908,123.987495,145.52629,151.05074,156.77213,165.52603,171.24742,176.77185,198.31067
2019-10-01,160.79825,122.16835,144.56392,150.30594,156.25111,165.3454,171.29056,177.03258,199.42815
2019-11-01,161.92949,123.64457,145.84363,151.53394,157.42464,166.43434,172.32506,178.01535,200.2144
2019-12-01,162.07564,120.426704,144.56673,150.7582,157.17032,166.98096,173.39308,179.58455,203.72458
2020-01-01,163.40884,123.16212,146.49127,152.47408,158.66959,168.14812,174.3436,180.3264,203.65558
