timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,155.25436,143.12688,150.15698,151.95973,153.82646,156.68227,158.549,160.35173,167.38184
2019-09-01,155.26918,141.06952,149.30489,151.41516,153.59926,156.93912,159.12321,161.23347,169.46883
2019-10-01,155.3052,139.30858,148.58484,150.96233,153.42331,157.18709,159.64807,162.02554,171.30182
2019-11-01,155.62659,138.78693,148.5578,151.05988,153.64828,157.60489,160.1933,162.69536,172.46626
2019-12-01,156.20392,137.45076,148.3317,151.1181,154.00072,158.40712,161.28973,164.07613,174.95706
2020-01-01,156.05426,136.27191,147.75261,150.6916,153.73138,158.37712,161.4169,164.3559,175.8366
2020-02-01,157.60376,136.16966,148.6032,151.7883,155.0842,160.12332,163.41922,166.60432,179.03786
2020-03-01,156.3118,134.55023,147.17638,150.40982,153.755,158.8686,162.21378,165.44722,178.07338
2020-04-01,158.23627,135.90392,148.86206,152.18022,155.61281,160.85974,164.29233,167.61049,180.56863
2020-05-01,159.47209,134.96597,149.18404,152.82533,156.5926,162.3516,166.11887,169.76016,183.97824
2020-06-01,159.91167,133.52048,148.83562,152.75659,156.8123,163.01102,167.06673,170.9877,186.30286
2020-07-01,159.26193,130.71031,147.27296,151.51569,155.90588,162.618,167.00818,171.25092,187.81357
2020-08-01,159.60173,130.80266,147.50679,151.78654,156.21559,162.98788,167.41693,171.69667,188.40082
2020-09-01,160.20602,129.51065,147.32072,151.88153,156.59982,163.81224,168.53052,173.09134,190.9014
2020-10-01,160.48438,130.98102,148.09978,152.48341,157.01837,163.9504,168.48534,172.86899,189.98775
2020-11-01,160.37837,129.85591,147.56561,152.10074,156.79247,163.9643,168.656,173.19115,190.90083
2020-12-01,160.37888,128.14859,146.84877,151.6377,156.59213,164.16563,169.12006,173.90898,192.60918
2021-01-01,160.27013,127.06335,146.33057,151.26453,156.36887,164.17139,169.27571,174.20969,193.4769
