timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2024-08-01,192.97772,165.83665,181.4463,185.49591,189.72258,196.23288,200.45955,204.50916,220.11879
2024-09-01,193.39377,161.24161,179.71642,184.51573,189.52946,197.25809,202.2718,207.07114,225.54594
2024-10-01,194.33284,162.36961,180.75438,185.52327,190.5002,198.16547,203.14241,207.91129,226.29605
2024-11-01,196.95059,164.1154,182.97926,187.88094,193.00252,200.89867,206.02025,210.92192,229.78578
2024-12-01,197.42549,162.79555,182.61021,187.78941,193.2227,201.6283,207.06157,212.24077,232.05545
2025-01-01,199.52817,164.29099,184.59387,189.84698,195.31985,203.73648,209.20935,214.46248,234.76537
2025-02-01,199.81754,162.421,183.9318,189.51122,195.3338,204.30127,210.12386,215.70326,237.21405
2025-03-01,200.02461,160.68863,183.25516,189.13115,195.27939,204.76984,210.91808,216.79407,239.3606
2025-04-01,199.33313,158.3861,181.93414,188.04391,194.4213,204.24496,210.62234,216.73212,240.28017
2025-05-01,199.24358,156.54713,181.0504,187.42732,194.09727,204.38986,211.05983,217.43674,241.94002
2025-06-01,199.12552,156.14734,180.83423,187.25058,193.95589,204.29515,211.00046,217.41681,242.1037
2025-07-01,199.41068,151.59831,179.06146,186.19958,193.65932,205.16202,212.62177,219.75987,247.22302
2025-08-01,199.12541,151.46048,178.79381,185.91534,193.3699,204.88092,212.3355,219.45702,246.79034
2025-09-01,201.949,152.43718,180.87617,188.26805,195.99304,207.90497,215.62996,223.02182,251.46083
2025-10-01,202.76262,151.81982,181.06108,188.66896,196.62502,208.90024,216.8563,224.46416,253.70543
2025-11-01,202.88066,148.64262,179.82895,187.92249,196.37198,209.38934,217.83882,225.93237,257.11868
2025-12-01,203.3092,148.47037,180.03836,188.21718,196.74593,209.8725,218.40123,226.58006,258.14804
2026-01-01,203.3581,146.98895,179.27885,187.705,196.53467,210.18153,219.0112,227.43735,259.72723
