timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,199.60529,163.40161,184.36227,189.74713,195.33012,203.88045,209.46346,214.8483,235.80896
2023-09-01,200.37729,160.17036,183.4571,189.43637,195.6334,205.12115,211.3182,217.29747,240.58423
2023-10-01,199.07875,153.30261,179.78532,186.59645,193.66359,204.49391,211.56105,218.37218,244.85489
2023-11-01,199.16986,151.45204,179.09077,186.18678,193.54073,204.799,212.15294,219.24895,246.88768
2023-12-01,197.23601,144.28168,174.93718,182.81389,190.9813,203.49074,211.65814,219.53485,250.19035
2024-01-01,199.41766,142.05066,175.2673,183.79958,192.64494,206.19038,215.03575,223.56802,256.78467
2024-02-01,199.04237,140.51053,174.4182,183.12167,192.14009,205.94466,214.96306,223.66653,257.57422
2024-03-01,200.04033,143.54865,176.27074,184.67131,193.37683,206.70381,215.40933,223.8099,256.532
2024-04-01,201.31548,144.2485,177.27753,185.76688,194.57149,208.05946,216.86407,225.35342,258.38245
2024-05-01,202.58481,135.80891,174.48492,184.41518,194.70677,210.46286,220.75446,230.68471,269.36072
2024-06-01,202.22131,135.09656,173.98738,183.96794,194.30824,210.13438,220.4747,230.45525,269.34607
2024-07-01,200.65598,135.09605,173.1048,182.84966,192.93915,208.3728,218.46231,228.20717,266.2159
2024-08-01,204.19585,130.96565,173.39752,184.28543,195.56479,212.8269,224.10626,234.99417,277.42606
2024-09-01,205.18025,126.6208,172.1686,183.8454,195.93451,214.42598,226.51509,238.1919,283.7397
2024-10-01,203.61864,131.2482,173.21515,183.97112,195.10487,212.1324,223.26617,234.02213,275.98907
2024-11-01,203.15034,125.87431,170.68454,182.16977,194.0588,212.2419,224.13094,235.61617,280.4264
2024-12-01,203.29738,122.62319,169.4028,181.39322,193.8055,212.78926,225.20154,237.19196,283.97156
2025-01-01,204.77325,117.87961,168.26308,181.17818,194.54839,214.99814,228.36832,241.28346,291.6669
