timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,157.8315,153.59532,155.15543,155.76984,156.6783,158.53337,159.50107,159.76947,161.98291
2021-09-01,157.53978,152.57333,154.32237,155.11714,156.13129,158.58824,159.87807,160.59981,163.12732
2021-10-01,157.2624,151.59462,153.55026,154.37415,155.63017,158.64355,160.26524,161.27461,164.18289
2021-11-01,157.08511,150.95384,153.01651,153.86133,155.31377,158.67015,160.49538,161.6443,164.77908
2021-12-01,157.0307,150.69753,152.79568,153.63782,155.1975,158.72087,160.65062,161.86449,165.11955
2022-01-01,157.70827,150.645,153.07323,153.92336,155.67297,159.53932,161.74023,163.00586,166.48795
2022-02-01,157.92506,150.89728,153.27661,154.14502,155.84935,159.78737,161.98074,163.2918,166.79076
2022-03-01,158.14836,151.17719,153.50829,154.41376,156.05931,160.03548,162.20277,163.57124,167.06197
2022-04-01,158.2964,151.32973,153.63567,154.58841,156.19214,160.21945,162.37433,163.8071,167.31842
2022-05-01,158.35468,151.28992,153.61035,154.62082,156.21732,160.34189,162.52289,164.0317,167.63089
2022-06-01,158.33232,151.05339,153.42859,154.51492,156.13948,160.41891,162.66995,164.26993,168.02911
2022-07-01,158.23656,150.64908,153.11041,154.29019,155.97282,160.44601,162.80179,164.50021,168.46906
2022-08-01,158.0774,150.16515,152.72122,153.99297,155.74716,160.40353,162.87503,164.65973,168.84056
2022-09-01,157.89313,149.75955,152.38254,153.71645,155.5251,160.29852,162.86186,164.70502,169.04277
2022-10-01,157.7381,149.5217,152.16716,153.53012,155.36398,160.18178,162.79689,164.6734,169.09453
2022-11-01,157.63054,149.42065,152.05702,153.42761,155.26978,160.08714,162.7244,164.61716,169.07089
2022-12-01,157.55621,149.39539,152.00899,153.37128,155.21916,160.01373,162.65817,164.55316,169.01556
2023-01-01,158.49606,149.19893,152.34158,153.63103,155.72585,160.95615,163.92633,165.72609,170.40627
