timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,191.10736,180.0856,184.33658,186.3636,188.86096,192.34622,194.55316,195.6837,203.6951
2022-09-01,190.48659,179.62051,183.7879,185.62088,187.94064,192.28381,194.99129,196.48831,204.70934
2022-10-01,190.08922,179.04865,183.30353,184.97931,187.25343,192.29558,195.36162,197.27441,205.8153
2022-11-01,189.9217,178.42995,182.82062,184.44705,186.78261,192.42792,195.7786,198.05054,206.94029
2022-12-01,189.97685,177.72174,182.24205,183.89615,186.46909,192.78339,196.48949,199.23586,208.4266
2023-01-01,192.96112,178.82819,183.72102,185.58556,189.1982,196.96811,203.09991,207.67108,216.6872
2023-02-01,193.90262,178.05379,183.28287,185.746,189.6099,198.3599,204.92851,210.29007,220.14998
2023-03-01,194.4886,177.68367,183.01761,185.95255,189.82611,199.16443,205.88457,211.74706,221.95158
2023-04-01,194.89609,177.66086,182.96716,186.18956,189.98355,199.5968,206.30638,212.3082,222.4938
2023-05-01,195.24223,177.67278,182.95776,186.34708,190.12398,199.94046,206.64516,212.65074,222.68376
2023-06-01,195.538,177.55551,182.89496,186.39578,190.23125,200.29053,207.04329,213.05716,222.95483
2023-07-01,195.77588,177.27232,182.74902,186.34447,190.28275,200.65495,207.50299,213.57666,223.41446
2023-08-01,195.95953,176.83997,182.5184,186.20662,190.27246,201.02373,208.00555,214.1904,224.04135
2023-09-01,196.10475,176.29112,182.21982,185.99727,190.21085,201.39279,208.54478,214.87721,224.79349
2023-10-01,196.22836,175.6802,181.88705,185.74709,190.1216,201.7586,209.10649,215.6048,225.61172
2023-11-01,196.3442,175.09102,181.57256,185.49725,190.03598,202.10248,209.65216,216.31308,226.40787
2023-12-01,196.46744,174.6271,181.3423,185.29404,189.99007,202.39822,210.13509,216.93448,227.08202
2024-01-01,199.53563,174.54771,182.38622,185.37653,192.47028,206.47302,216.45224,223.62288,234.47925
