timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,155.75291,144.47769,151.47511,152.95493,154.52655,156.87521,157.14394,159.03526,165.49622
2020-09-01,155.83618,144.58719,151.76779,153.09889,154.60587,157.02234,157.47084,159.30064,165.47285
2020-10-01,155.93427,144.62341,151.9485,153.19429,154.67989,157.1657,157.80537,159.50677,165.46652
2020-11-01,156.06522,144.64787,152.06755,153.28229,154.78911,157.32019,158.12923,159.66057,165.43526
2020-12-01,156.22363,144.66908,152.13437,153.34752,154.92445,157.4885,158.4561,159.78082,165.3792
2021-01-01,156.6702,146.90765,153.26575,154.17526,155.48381,158.07266,159.39699,160.4957,163.47986
2021-02-01,156.85925,146.72989,153.15019,154.08527,155.60875,158.31882,159.86414,160.69434,163.71538
2021-03-01,157.00871,146.56462,153.00208,153.95537,155.68694,158.53586,160.26842,160.84712,163.8671
2021-04-01,157.12651,146.40845,152.85286,153.83072,155.73828,158.69911,160.55284,160.92184,163.96555
2021-05-01,157.21725,146.25539,152.71652,153.72964,155.77316,158.80505,160.71892,160.9282,164.04265
2021-06-01,157.2819,146.10149,152.58453,153.637,155.78975,158.86801,160.81201,160.89592,164.11317
2021-07-01,157.32082,145.94795,152.44078,153.52747,155.78238,158.90617,160.88026,160.85187,164.17441
2021-08-01,157.33095,145.79512,152.26103,153.36807,155.73973,158.93611,160.96849,160.8197,164.21951
2021-09-01,157.3024,145.64018,152.0106,153.1151,155.64203,158.97092,161.12042,160.82135,164.2392
2021-10-01,157.21982,145.47932,151.6639,152.73839,155.47003,159.00978,161.35194,160.86235,164.21942
2021-11-01,157.08371,145.3148,151.25749,152.28593,155.23901,159.02988,161.6046,160.91188,164.15613
2021-12-01,156.93217,145.15591,150.89012,151.88107,155.01115,159.01256,161.78362,160.92867,164.08089
2022-01-01,157.01686,147.04448,151.90514,152.56319,155.32729,159.25816,162.0066,161.36111,162.55142
