timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,175.5369,158.10002,163.48439,167.13553,171.606,177.82152,181.30733,184.05556,191.75755
2022-09-01,175.25868,157.89594,163.17418,167.02744,171.34079,177.93375,181.60513,185.2555,192.01161
2022-10-01,174.52701,157.43279,162.65756,166.38557,170.52686,177.54639,181.39438,185.72751,191.86893
2022-11-01,174.00314,156.85757,162.11566,165.67415,169.88535,177.28185,181.40817,186.04915,192.02324
2022-12-01,173.63205,156.26038,161.64828,164.96414,169.35016,177.16443,181.55254,186.24745,192.26614
2023-01-01,175.4349,157.25888,162.52571,165.96106,171.13985,179.59721,183.51193,186.95587,193.83815
2023-02-01,175.77063,157.36919,162.65211,166.14919,171.40224,179.87886,183.79108,187.29187,194.18234
2023-03-01,176.02048,157.47278,162.77188,166.31279,171.5928,180.06921,183.9672,187.56866,194.42175
2023-04-01,176.19987,157.54088,162.86855,166.42485,171.71349,180.18924,184.0852,187.80571,194.60573
2023-05-01,176.30875,157.5587,162.93507,166.4719,171.7637,180.25165,184.16397,188.01305,194.74936
2023-06-01,176.34618,157.51738,162.97047,166.44106,171.74043,180.26332,184.2143,188.18591,194.85284
2023-07-01,176.30913,157.41035,162.97128,166.32298,171.63565,180.2334,184.24275,188.30424,194.91052
2023-08-01,176.2071,157.25626,162.93639,166.13832,171.46048,180.15607,184.24323,188.35947,194.90822
2023-09-01,176.05649,157.0956,162.86775,165.93666,171.24536,180.02147,184.20088,188.35596,194.82764
2023-10-01,175.87033,156.95769,162.77393,165.75385,171.01605,179.8326,184.10689,188.29909,194.6588
2023-11-01,175.6557,156.84462,162.6652,165.59142,170.78098,179.60313,183.96388,188.18599,194.40369
2023-12-01,175.4177,156.7458,162.54736,165.43738,170.54042,179.34811,183.78111,188.0145,194.07324
2024-01-01,176.17978,157.84909,163.27786,166.19624,171.73828,180.46283,184.06654,186.96045,193.67606
