timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,155.44449,151.81334,153.33867,153.64397,154.4659,156.16373,156.83685,157.58058,159.49434
2019-09-01,154.723,150.90663,152.40039,152.73141,153.68275,155.66446,156.62773,157.39493,159.39703
2019-10-01,154.25897,150.41989,151.88887,152.20921,153.22752,155.3424,156.44583,157.23126,159.2421
2019-11-01,153.98872,150.14543,151.60295,151.8982,152.9662,155.1607,156.32953,157.14154,159.15155
2019-12-01,153.78711,149.9439,151.3935,151.66116,152.76883,155.0196,156.22516,157.06451,159.07692
2020-01-01,154.80476,150.63623,152.07863,152.44637,153.59732,156.06749,157.5177,158.65717,160.09837
2020-02-01,154.97899,150.57515,152.10475,152.56046,153.71254,156.31915,157.84772,159.00304,160.62166
2020-03-01,155.12248,150.56699,152.15242,152.68506,153.83131,156.5206,158.08252,159.24135,160.98126
2020-04-01,155.2664,150.59924,152.23372,152.80841,153.95654,156.73505,158.33937,159.50034,161.27669
2020-05-01,155.35605,150.63412,152.30782,152.87286,154.04071,156.90076,158.55486,159.7343,161.45717
2020-06-01,155.17328,150.59576,152.20952,152.75986,153.9065,156.68576,158.30203,159.52979,161.2209
2020-07-01,154.83337,150.42966,151.96959,152.50262,153.60698,156.2681,157.79443,159.03668,160.80258
2020-08-01,154.58879,150.23827,151.76231,152.26515,153.37395,156.0166,157.51584,158.75204,160.58646
2020-09-01,154.41495,150.08716,151.60449,152.07579,153.20563,155.86304,157.37166,158.6048,160.48616
2020-10-01,154.33662,150.03763,151.53624,151.9902,153.13493,155.82027,157.34918,158.5904,160.53882
2020-11-01,154.45331,150.19975,151.65395,152.13153,153.26672,156.01176,157.5718,158.85046,160.91672
2020-12-01,154.55658,150.34645,151.7578,152.25838,153.37831,156.19392,157.79947,159.11955,161.28662
2021-01-01,155.99274,151.17348,152.69418,153.23251,154.50743,157.71803,159.59575,161.20244,163.03716
