timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,142.48157,135.4919,138.26564,139.60918,140.90404,143.38435,144.60927,145.6181,150.32526
2020-09-01,141.37993,133.03725,136.02254,137.49504,139.122,142.80507,144.60712,145.81479,151.00874
2020-10-01,140.03082,130.76588,133.74869,135.21338,137.3388,141.92188,144.32901,145.86302,151.00052
2020-11-01,139.02953,129.44562,132.30031,133.66708,136.16028,141.16171,144.08133,145.98189,150.74374
2020-12-01,138.44275,129.05609,131.76163,133.03647,135.61531,140.64941,143.73679,145.78473,150.3886
2021-01-01,142.24283,130.96927,134.197,135.03328,138.65944,145.97412,150.43427,153.04243,156.7106
2021-02-01,142.81383,131.80095,134.86449,136.2124,139.37715,146.4902,150.62225,153.13725,157.91884
2021-03-01,142.96834,132.26047,135.1536,136.84561,139.68196,146.62433,150.56903,153.12189,158.6002
2021-04-01,142.93936,132.51938,135.28897,137.22137,139.78587,146.54065,150.33215,152.95964,158.85684
2021-05-01,142.80579,132.65593,135.3307,137.42397,139.76161,146.29076,149.9564,152.68416,158.78412
2021-06-01,142.56624,132.6624,135.26256,137.43254,139.61438,145.90366,149.50813,152.39108,158.47333
2021-07-01,142.15802,132.46928,135.01033,137.16685,139.30025,145.37535,149.02652,152.15341,157.98935
2021-08-01,141.57977,132.11075,134.59247,136.65143,138.8348,144.72833,148.5178,151.92961,157.35953
2021-09-01,141.0321,131.80968,134.22342,136.15729,138.40387,144.13272,148.04193,151.64392,156.71667
2021-10-01,140.63101,131.64209,133.98924,135.82353,138.09972,143.69228,147.65977,151.34181,156.20337
2021-11-01,140.32222,131.52716,133.81345,135.58604,137.86363,143.36551,147.35847,151.06973,155.81706
2021-12-01,140.0228,131.3811,133.60889,135.35948,137.61658,143.0876,147.098,150.82632,155.49924
2022-01-01,143.3041,132.67676,135.50056,136.50063,140.04515,147.3889,152.62988,156.07608,159.52913
