timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,138.31676,135.6544,136.66216,137.22966,137.73694,138.76776,139.22136,139.6235,141.52861
2020-09-01,138.11429,135.12015,136.15726,136.70973,137.32484,138.71715,139.34439,139.85658,141.91582
2020-10-01,137.9158,134.82735,135.85553,136.38013,137.06844,138.5948,139.29242,139.85806,142.01904
2020-11-01,137.68861,134.60577,135.6303,136.08565,136.8483,138.4316,139.21974,139.88602,141.97449
2020-12-01,137.45131,134.4191,135.42882,135.80461,136.63382,138.24515,139.13937,139.9057,141.88676
2021-01-01,138.26936,134.69598,135.79884,136.25876,137.25919,139.47937,140.91266,141.89818,143.70268
2021-02-01,138.33452,134.84355,135.89635,136.50104,137.37724,139.49515,140.84973,141.82571,143.94426
2021-03-01,138.36414,134.94754,135.96263,136.66165,137.44896,139.48419,140.76984,141.75934,144.0352
2021-04-01,138.4108,135.02646,136.01917,136.76749,137.50111,139.50668,140.76198,141.78752,144.1148
2021-05-01,138.48343,135.03506,136.02635,136.78961,137.52618,139.5844,140.87988,141.97737,144.28017
2021-06-01,138.53786,134.94843,135.95367,136.7154,137.50006,139.67471,141.07393,142.27785,144.49545
2021-07-01,138.50816,134.8287,135.8515,136.57855,137.42194,139.67897,141.19078,142.50826,144.57843
2021-08-01,138.39355,134.7148,135.7499,136.40376,137.31017,139.58069,141.18613,142.60301,144.496
2021-09-01,138.26268,134.6332,135.6687,136.2481,137.2056,139.45143,141.11664,142.59364,144.3492
2021-10-01,138.15544,134.58621,135.61351,136.13957,137.12611,139.34027,141.0342,142.53662,144.213
2021-11-01,138.06313,134.54779,135.56314,136.05748,137.05653,139.25041,140.95825,142.47125,144.10397
2021-12-01,137.96426,134.49171,135.49303,135.97449,136.97487,139.17041,140.88844,142.40898,144.01268
2022-01-01,138.66971,134.46295,135.5232,136.04248,137.41191,140.2857,142.36348,143.83797,145.2758
