timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2023-08-01,187.85715,182.99258,183.65797,185.08366,186.68657,189.57169,190.50093,191.62737,197.26822
2023-09-01,187.77737,181.87032,182.9257,184.26726,186.10466,189.38713,190.83813,192.32986,198.76447
2023-10-01,187.58952,179.87045,181.72435,183.1837,185.51903,189.26762,191.2676,193.30469,200.8882
2023-11-01,187.64922,178.71869,181.0581,182.65526,185.35028,189.48065,191.74052,194.05511,202.61243
2023-12-01,187.87082,178.25595,180.80234,182.46333,185.39284,189.81206,192.19965,194.52411,203.8508
2024-01-01,189.88281,179.08932,182.1222,184.18953,187.18431,191.72752,195.35376,198.70497,204.57578
2024-02-01,190.50743,179.07121,182.36981,184.41147,187.60779,192.45993,196.5279,200.1447,206.63081
2024-03-01,191.06694,179.27756,182.69627,184.74017,188.11969,193.10744,197.34845,201.16556,208.09404
2024-04-01,191.53734,179.51492,182.98691,185.02806,188.56265,193.64304,197.94609,201.90923,209.21893
2024-05-01,191.95404,179.76889,183.24754,185.25577,188.90889,194.09167,198.40067,202.46674,210.09692
2024-06-01,192.35258,180.04774,183.4972,185.4522,189.17517,194.49724,198.77873,202.92407,210.80789
2024-07-01,192.58951,180.19499,183.61963,185.52228,189.30435,194.76408,199.02371,203.24174,211.47476
2024-08-01,192.57132,179.9822,183.47128,185.27655,189.20027,194.7836,199.1418,203.47513,212.24234
2024-09-01,192.43758,179.64427,183.1961,184.91539,188.9859,194.72568,199.19058,203.52063,212.95068
2024-10-01,192.36014,179.32922,182.9152,184.65913,188.83856,194.77725,199.23764,203.3729,213.59505
2024-11-01,192.5425,179.09363,182.70798,184.66447,188.96715,195.12927,199.40067,203.22618,214.32494
2024-12-01,192.8647,178.5792,182.34265,184.5177,189.0099,195.68698,199.95325,203.50194,215.51819
2025-01-01,194.20514,179.27168,183.46483,185.86018,190.30847,197.10103,202.34381,207.01466,214.93796
