timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,158.56468,150.33481,153.79369,154.88765,157.17747,160.01047,161.71727,162.32733,163.84717
2020-09-01,158.50137,150.26784,153.77449,154.86656,157.14241,159.98833,161.62837,162.26749,163.89268
2020-10-01,158.44603,150.22108,153.76695,154.83841,157.10986,159.9606,161.5526,162.19586,163.92094
2020-11-01,158.38907,150.17924,153.7577,154.80595,157.0745,159.92973,161.47603,162.11433,163.93904
2020-12-01,158.33217,150.1357,153.75002,154.7738,157.03665,159.89929,161.39337,162.02484,163.95059
2021-01-01,158.95874,150.78773,154.0906,155.25856,157.43341,160.08243,162.0719,162.65958,163.39651
2021-02-01,158.95152,150.71864,154.09253,155.25433,157.4286,160.1197,162.03477,162.63438,163.46858
2021-03-01,158.94841,150.64948,154.10251,155.25659,157.42514,160.15991,161.99226,162.61014,163.5344
2021-04-01,158.94817,150.58328,154.11316,155.26068,157.42093,160.19965,161.94409,162.58856,163.59314
2021-05-01,158.95123,150.52415,154.11617,155.26306,157.41531,160.23627,161.89316,162.57552,163.64246
2021-06-01,158.95796,150.47482,154.10912,155.26285,157.40868,160.26926,161.84167,162.57387,163.68102
2021-07-01,158.96422,150.4341,154.09442,155.25966,157.402,160.29802,161.78944,162.57928,163.70987
2021-08-01,158.96202,150.39717,154.07622,155.2519,157.39574,160.32098,161.73465,162.58228,163.73238
2021-09-01,158.94588,150.35939,154.05772,155.23798,157.38866,160.33667,161.67548,162.57434,163.75214
2021-10-01,158.9156,150.3185,154.04018,155.21738,157.37755,160.3436,161.6108,162.5507,163.77121
2021-11-01,158.87384,150.2742,154.02373,155.19073,157.35915,160.34053,161.54016,162.50996,163.79007
2021-12-01,158.82324,150.22736,154.00845,155.1593,157.33261,160.32736,161.46362,162.45338,163.80788
2022-01-01,159.3606,150.92325,154.33112,155.606,157.67316,160.3984,162.00764,162.94902,163.13068
