timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,156.09247,151.24991,153.16545,154.27574,155.14113,156.64085,157.50705,158.42172,163.02948
2020-09-01,156.04617,151.51556,153.29285,154.2869,155.15395,156.82268,157.87968,158.94641,163.30295
2020-10-01,156.05841,151.66428,153.30789,154.23813,155.12564,156.94864,158.2522,159.37436,163.53712
2020-11-01,156.1601,151.83922,153.37828,154.26225,155.20064,157.12794,158.64032,159.77766,163.83168
2020-12-01,156.27959,151.98705,153.45166,154.32422,155.31686,157.32019,158.9808,160.1242,164.13547
2021-01-01,157.38586,152.29582,154.05038,155.00995,156.2792,158.79794,161.22844,162.48355,164.72408
2021-02-01,157.74713,152.58438,154.42531,155.42226,156.63147,159.16438,161.56216,162.90366,165.19704
2021-03-01,158.08969,152.86754,154.7988,155.8284,156.99501,159.50528,161.83359,163.24275,165.62064
2021-04-01,158.3709,153.1244,155.12543,156.18552,157.30508,159.78217,162.00795,163.4724,165.91965
2021-05-01,158.60065,153.34225,155.3919,156.48592,157.54861,160.00064,162.11151,163.61911,166.1051
2021-06-01,158.80733,153.50162,155.59546,156.73419,157.74594,160.20032,162.21487,163.75157,166.2595
2021-07-01,159.00136,153.59032,155.73979,156.93863,157.92049,160.40927,162.3558,163.9071,166.44598
2021-08-01,159.19502,153.61134,155.83768,157.11641,158.0974,160.65245,162.55678,164.10977,166.6983
2021-09-01,159.40726,153.55989,155.89323,157.2739,158.3056,160.96997,162.86563,164.41226,167.07115
2021-10-01,159.65607,153.4105,155.89409,157.38417,158.5714,161.41438,163.36595,164.89096,167.63899
2021-11-01,159.91219,153.24664,155.8942,157.50789,158.86942,161.90152,163.89674,165.34761,168.14325
2021-12-01,160.05377,153.13872,155.89108,157.6385,159.07831,162.22687,164.19362,165.55583,168.34595
2022-01-01,160.89194,152.91202,156.0578,158.07703,159.71411,163.40857,166.2816,167.55519,168.43239
