timestamp,q_0.05,q_0.95,q_0.5
2019-07-01,162.3,166.2,163.8
2019-08-01,162.4,166.7,164.0
2019-09-01,161.89,167.085,164.14999999999998
2019-10-01,161.035,167.92,164.35000000000002
2019-11-01,160.715,168.555,164.64999999999998
2019-12-01,160.54,169.11,164.6
2020-01-01,160.515,169.54,165.25
2020-02-01,159.945,169.35000000000002,164.9
2020-03-01,159.13,169.82,165.2
2020-04-01,158.54999999999998,173.585,166.4
2020-05-01,159.46,174.82999999999998,168.05
2020-06-01,158.28,177.875,168.25
2020-07-01,159.125,177.34,169.35000000000002
2020-08-01,158.64,177.92499999999998,169.14999999999998
2020-09-01,159.71,180.24,169.8
2020-10-01,160.41,181.76,169.85000000000002
2020-11-01,161.18,182.075,170.65
2020-12-01,161.83,183.275,171.2
