timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,156.3,156.3,156.3
2020-09-01,149.7,149.7,149.7
2020-10-01,144.3,144.3,144.3
2020-11-01,152.5,152.5,152.5
2020-12-01,156.4,156.4,156.4
2021-01-01,164.0,164.0,164.0
2021-02-01,163.4,163.4,163.4
2021-03-01,160.5,160.5,160.5
2021-04-01,161.9,161.9,161.9
2021-05-01,159.5,159.5,159.5
2021-06-01,164.7,164.7,164.7
2021-07-01,166.1,166.1,166.1
2021-08-01,157.9,157.9,157.9
2021-09-01,151.3,151.3,151.3
2021-10-01,145.9,145.9,145.9
2021-11-01,154.1,154.1,154.1
2021-12-01,158.0,158.0,158.0
