timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,175.8,175.8,175.8
2020-09-01,175.2,175.2,175.2
2020-10-01,174.6,174.6,174.6
2020-11-01,174.0,174.0,174.0
2020-12-01,173.4,173.4,173.4
2021-01-01,172.8,172.8,172.8
2021-02-01,172.2,172.2,172.2
2021-03-01,171.6,171.6,171.6
2021-04-01,171.0,171.0,171.0
2021-05-01,170.4,170.4,170.4
2021-06-01,169.8,169.8,169.8
2021-07-01,169.2,169.2,169.2
2021-08-01,168.6,168.6,168.6
2021-09-01,168.0,168.0,168.0
2021-10-01,167.4,167.4,167.4
2021-11-01,166.8,166.8,166.8
2021-12-01,166.2,166.2,166.2
