timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,165.8,165.8,165.8
2022-09-01,164.3,164.3,164.3
2022-10-01,163.0,163.0,163.0
2022-11-01,162.5,162.5,162.5
2022-12-01,162.0,162.0,162.0
2023-01-01,161.5,161.5,161.5
2023-02-01,161.0,161.0,161.0
2023-03-01,160.5,160.5,160.5
2023-04-01,160.0,160.0,160.0
2023-05-01,159.5,159.5,159.5
2023-06-01,159.0,159.0,159.0
2023-07-01,158.5,158.5,158.5
2023-08-01,158.0,158.0,158.0
2023-09-01,157.5,157.5,157.5
2023-10-01,157.0,157.0,157.0
2023-11-01,156.5,156.5,156.5
2023-12-01,156.0,156.0,156.0
