timestamp,q_0.05,q_0.95,q_0.5
2019-08-01,134.2,134.2,134.2
2019-09-01,127.5,127.5,127.5
2019-10-01,124.0,124.0,124.0
2019-11-01,133.0,133.0,133.0
2019-12-01,138.0,138.0,138.0
2020-01-01,141.5,141.5,141.5
2020-02-01,143.5,143.5,143.5
2020-03-01,142.5,142.5,142.5
2020-04-01,142.0,142.0,142.0
2020-05-01,141.5,141.5,141.5
2020-06-01,143.0,143.0,143.0
2020-07-01,144.5,144.5,144.5
2020-08-01,138.0,138.0,138.0
2020-09-01,135.0,135.0,135.0
2020-10-01,134.5,134.5,134.5
2020-11-01,140.0,140.0,140.0
2020-12-01,145.0,145.0,145.0
