timestamp,q_0.05,q_0.95,q_0.5
2018-08-01,128.4,128.4,128.4
2018-09-01,125.3,125.3,125.3
2018-10-01,121.9,121.9,121.9
2018-11-01,130.1,130.1,130.1
2018-12-01,134.5,134.5,134.5
2019-01-01,138.9,138.9,138.9
2019-02-01,138.9,138.9,138.9
2019-03-01,136.4,136.4,136.4
2019-04-01,136.0,136.0,136.0
2019-05-01,134.4,134.4,134.4
2019-06-01,139.1,139.1,139.1
2019-07-01,139.4,139.4,139.4
2019-08-01,131.6,131.6,131.6
2019-09-01,125.3,125.3,125.3
2019-10-01,121.9,121.9,121.9
2019-11-01,130.0,130.0,130.0
2019-12-01,135.5,135.5,135.5
