timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,157.0,157.0,157.0
2020-09-01,150.2,150.2,150.2
2020-10-01,144.8,144.8,144.8
2020-11-01,153.0,153.0,153.0
2020-12-01,157.7,157.7,157.7
2021-01-01,165.3,165.3,165.3
2021-02-01,164.7,164.7,164.7
2021-03-01,161.8,161.8,161.8
2021-04-01,163.2,163.2,163.2
2021-05-01,160.8,160.8,160.8
2021-06-01,165.9,165.9,165.9
2021-07-01,168.3,168.3,168.3
2021-08-01,160.2,160.2,160.2
2021-09-01,153.4,153.4,153.4
2021-10-01,148.0,148.0,148.0
2021-11-01,156.2,156.2,156.2
2021-12-01,160.1,160.1,160.1
