timestamp,q_0.05,q_0.95,q_0.5
2020-07-01,160.49,167.605,164.05
2020-08-01,153.62,163.02,159.65
2020-09-01,149.14499999999998,158.82999999999998,153.6
2020-10-01,144.735,156.71,150.45
2020-11-01,152.845,167.465,158.8
2020-12-01,156.845,174.465,163.8
2021-01-01,161.205,181.875,169.6
2021-02-01,161.545,187.195,170.05
2021-03-01,158.37,183.25,167.35000000000002
2021-04-01,157.755,180.72,166.9
2021-05-01,160.945,183.12,168.5
2021-06-01,164.42499999999998,188.645,173.45
2021-07-01,162.49,189.65,175.35000000000002
2021-08-01,159.96,185.045,171.2
2021-09-01,152.18,181.44,167.05
2021-10-01,151.815,182.605,164.35000000000002
2021-11-01,157.735,198.05,175.5
2021-12-01,162.76,207.655,182.45
