timestamp,q_0.05,q_0.95,q_0.5
2021-07-01,156.745,159.86499999999998,158.2
2021-08-01,157.38,161.36499999999998,159.2
2021-09-01,154.525,160.3,157.25
2021-10-01,156.625,162.82,159.95
2021-11-01,156.69,166.195,160.25
2021-12-01,158.13500000000002,168.22,161.75
2022-01-01,157.59,169.655,163.14999999999998
2022-02-01,159.345,173.175,164.6
2022-03-01,159.88,175.565,166.8
2022-04-01,160.6,177.845,167.55
2022-05-01,161.035,180.015,168.9
2022-06-01,161.13,180.795,169.55
2022-07-01,161.59,182.71,170.55
2022-08-01,162.32,182.4,170.9
2022-09-01,159.64499999999998,181.955,168.0
2022-10-01,161.41,184.085,170.8
2022-11-01,160.64499999999998,185.85,170.95
2022-12-01,161.525,186.635,172.0
