timestamp,q_0.05,q_0.95,q_0.5
2018-08-01,133.2,133.2,133.2
2018-09-01,127.0,127.0,127.0
2018-10-01,123.5,123.5,123.5
2018-11-01,132.8,132.8,132.8
2018-12-01,137.2,137.2,137.2
2019-01-01,140.5,140.5,140.5
2019-02-01,140.8,140.8,140.8
2019-03-01,138.2,138.2,138.2
2019-04-01,137.8,137.8,137.8
2019-05-01,136.2,136.2,136.2
2019-06-01,141.0,141.0,141.0
2019-07-01,139.2,139.2,139.2
2019-08-01,134.0,134.0,134.0
2019-09-01,127.8,127.8,127.8
2019-10-01,124.2,124.2,124.2
2019-11-01,133.5,133.5,133.5
2019-12-01,138.0,138.0,138.0
