timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,162.5,162.5,162.5
2022-09-01,157.3,157.3,157.3
2022-10-01,156.8,156.8,156.8
2022-11-01,169.2,169.2,169.2
2022-12-01,171.5,171.5,171.5
2023-01-01,174.8,174.8,174.8
2023-02-01,176.2,176.2,176.2
2023-03-01,174.3,174.3,174.3
2023-04-01,171.8,171.8,171.8
2023-05-01,178.2,178.2,178.2
2023-06-01,177.3,177.3,177.3
2023-07-01,177.6,177.6,177.6
2023-08-01,171.4,171.4,171.4
2023-09-01,165.8,165.8,165.8
2023-10-01,165.2,165.2,165.2
2023-11-01,178.5,178.5,178.5
2023-12-01,180.9,180.9,180.9
