timestamp,q_0.05,q_0.95,q_0.5
2021-08-01,151.4,151.4,151.4
2021-09-01,147.8,147.8,147.8
2021-10-01,145.2,145.2,145.2
2021-11-01,153.6,153.6,153.6
2021-12-01,157.4,157.4,157.4
2022-01-01,162.8,162.8,162.8
2022-02-01,159.5,159.5,159.5
2022-03-01,155.8,155.8,155.8
2022-04-01,152.6,152.6,152.6
2022-05-01,153.4,153.4,153.4
2022-06-01,154.8,154.8,154.8
2022-07-01,154.2,154.2,154.2
2022-08-01,150.6,150.6,150.6
2022-09-01,146.4,146.4,146.4
2022-10-01,144.8,144.8,144.8
2022-11-01,151.2,151.2,151.2
2022-12-01,154.6,154.6,154.6
