timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,177.2,177.2,177.2
2022-09-01,177.6,177.6,177.6
2022-10-01,178.0,178.0,178.0
2022-11-01,178.4,178.4,178.4
2022-12-01,178.8,178.8,178.8
2023-01-01,179.2,179.2,179.2
2023-02-01,179.6,179.6,179.6
2023-03-01,180.0,180.0,180.0
2023-04-01,180.4,180.4,180.4
2023-05-01,180.8,180.8,180.8
2023-06-01,181.2,181.2,181.2
2023-07-01,181.6,181.6,181.6
2023-08-01,182.0,182.0,182.0
2023-09-01,182.4,182.4,182.4
2023-10-01,182.8,182.8,182.8
2023-11-01,183.2,183.2,183.2
2023-12-01,183.6,183.6,183.6
