timestamp,q_0.05,q_0.95,q_0.5
2019-08-01,164.2,164.2,164.2
2019-09-01,163.9,163.9,163.9
2019-10-01,163.6,163.6,163.6
2019-11-01,163.3,163.3,163.3
2019-12-01,163.0,163.0,163.0
2020-01-01,162.7,162.7,162.7
2020-02-01,162.4,162.4,162.4
2020-03-01,162.1,162.1,162.1
2020-04-01,161.8,161.8,161.8
2020-05-01,161.5,161.5,161.5
2020-06-01,161.2,161.2,161.2
2020-07-01,160.9,160.9,160.9
2020-08-01,160.6,160.6,160.6
2020-09-01,160.3,160.3,160.3
2020-10-01,160.0,160.0,160.0
2020-11-01,159.7,159.7,159.7
2020-12-01,159.4,159.4,159.4
