timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,139.0,139.0,139.0
2020-09-01,136.0,136.0,136.0
2020-10-01,135.0,135.0,135.0
2020-11-01,143.0,143.0,143.0
2020-12-01,153.0,153.0,153.0
2021-01-01,156.0,156.0,156.0
2021-02-01,162.0,162.0,162.0
2021-03-01,159.0,159.0,159.0
2021-04-01,160.0,160.0,160.0
2021-05-01,158.0,158.0,158.0
2021-06-01,163.0,163.0,163.0
2021-07-01,165.0,165.0,165.0
2021-08-01,155.0,155.0,155.0
2021-09-01,148.0,148.0,148.0
2021-10-01,143.0,143.0,143.0
2021-11-01,151.0,151.0,151.0
2021-12-01,155.0,155.0,155.0
