timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2017-08-01,154.73349,0.19106801,89.93948,112.89193,136.61557,172.85143,196.57506,219.5275,309.2759
2017-09-01,157.51816,43.52354,88.852356,107.11925,132.64821,182.3881,207.91707,226.18396,271.5128
2017-10-01,148.95525,-74.41896,55.302612,88.477844,122.76777,175.14273,209.43263,242.60788,372.32944
2017-11-01,152.78685,-103.22849,45.44899,83.47203,122.77266,182.80106,222.10167,260.1247,408.80222
2017-12-01,152.89278,-130.21725,34.1951,76.24221,119.70211,186.08344,229.54332,271.59045,436.0028
2018-01-01,153.15527,-152.98859,24.800364,70.26842,117.264206,189.04633,236.0421,281.51016,459.2991
2018-02-01,151.30193,-187.28325,9.345518,59.63174,111.60757,190.99628,242.97208,293.2583,489.88705
2018-03-01,148.37148,-191.96877,5.6792297,56.226112,108.47135,188.27159,240.51682,291.06372,488.7117
2018-04-01,145.84187,-57.45795,23.41255,55.989952,101.507515,190.17624,235.69379,268.2712,349.14172
2018-05-01,147.1553,-223.16986,-8.108565,46.891647,103.73986,190.57076,247.41895,302.41916,517.48047
2018-06-01,145.45587,-234.22208,-13.729292,42.659977,100.94394,189.96779,248.25175,304.64102,525.1338
2018-07-01,142.77075,-70.218,13.782442,47.913403,95.86704,189.67447,237.62808,271.75906,355.7595
2018-08-01,143.60437,-71.65829,11.488731,45.97909,95.08701,192.12172,241.22964,275.72,358.867
2018-09-01,145.68892,-75.71212,10.920095,46.398415,96.49821,194.87964,244.97942,280.45776,367.08997
2018-10-01,138.37984,-89.35821,-1.6113678,34.876507,86.910545,189.84914,241.88315,278.37106,366.1179
2018-11-01,142.96443,-82.059845,1.9402381,37.963516,90.3613,195.56757,247.96533,283.98865,367.9887
2018-12-01,138.05095,-98.310356,-11.301082,26.51568,81.99592,194.10599,249.5862,287.40295,374.41226
2019-01-01,140.63547,-91.19623,-5.907419,31.183582,85.61975,195.6512,250.08736,287.17834,372.46716
