timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,145.00006,118.04805,130.47491,134.75189,140.14597,149.85416,155.24823,159.5252,171.95207
2020-09-01,144.17418,119.8518,130.75317,134.6259,139.61272,148.73564,153.72247,157.5952,168.49655
2020-10-01,145.11479,118.65247,130.698,134.9041,140.25941,149.97017,155.32547,159.53159,171.57709
2020-11-01,144.4184,112.76284,127.222824,132.25224,138.6393,150.1975,156.58455,161.61397,176.07396
2020-12-01,146.11726,117.90989,130.5085,135.00145,140.80148,151.43306,157.2331,161.72603,174.32466
2021-01-01,146.68205,117.427315,130.78636,135.43451,141.33879,152.0253,157.92958,162.57774,175.93677
2021-02-01,151.51042,122.62863,135.93031,140.51422,146.3002,156.72064,162.50662,167.09052,180.3922
2021-03-01,150.03998,119.97699,133.8856,138.65407,144.65268,155.42728,161.42589,166.19435,180.10297
2021-04-01,148.42102,122.42649,134.38948,138.51553,143.72652,153.11552,158.32649,162.45256,174.41556
2021-05-01,152.3397,125.43005,137.71889,141.99442,147.42516,157.25426,162.68498,166.96053,179.24936
2021-06-01,151.75151,126.689995,137.98787,141.97578,147.0894,156.4136,161.52722,165.51514,176.81302
2021-07-01,155.42981,131.76346,142.11276,145.88972,150.8396,160.02,164.96988,168.74684,179.09613
2021-08-01,155.08974,129.21361,140.73299,144.85597,150.19104,159.98845,165.32352,169.4465,180.9659
2021-09-01,148.549,121.98693,133.80562,138.0381,143.5169,153.5811,159.05989,163.29237,175.11107
2021-10-01,149.50415,123.5419,134.86462,139.00893,144.45052,154.55777,159.99937,164.14368,175.4664
2021-11-01,152.45909,125.828514,137.42203,141.67361,147.26308,157.65512,163.24458,167.49617,179.08968
2021-12-01,153.08554,125.6068,137.75757,142.1387,147.83525,158.33582,164.03236,168.4135,180.56427
2022-01-01,156.91096,129.50229,141.71214,146.079,151.72694,162.09497,167.74292,172.10977,184.31963
