timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,142.71918,116.408905,128.51933,132.69542,137.96889,147.46947,152.74294,156.91902,169.02945
2020-09-01,141.63748,117.841255,128.48866,132.27829,137.16411,146.11086,150.99667,154.7863,165.43372
2020-10-01,142.47935,116.61262,128.36284,132.4753,137.71927,147.23944,152.48343,156.59589,168.3461
2020-11-01,141.73024,110.714554,124.85933,129.78806,136.05475,147.40573,153.67241,158.60115,172.74591
2020-12-01,143.54018,115.91409,128.23357,132.63463,138.32253,148.75784,154.44574,158.84679,171.16628
2021-01-01,144.12785,115.406265,128.50444,133.06865,138.87195,149.38377,155.18707,159.75128,172.84944
2021-02-01,148.61967,120.23862,133.2947,137.7998,143.49118,153.74817,159.43954,163.94467,177.00073
2021-03-01,147.28815,117.88059,131.4567,136.12256,142.00156,152.57472,158.45374,163.11958,176.6957
2021-04-01,145.49092,120.013016,131.71353,135.7587,140.87555,150.1063,155.22314,159.26831,170.96883
2021-05-01,149.38707,123.066765,135.05977,139.24278,144.56474,154.20938,159.53133,163.71436,175.70737
2021-06-01,149.05293,124.36747,135.47478,139.40367,144.44853,153.65732,158.7022,162.63109,173.73839
2021-07-01,152.49138,129.26474,139.40347,143.11081,147.97563,157.00714,161.87195,165.57928,175.71802
2021-08-01,152.15048,126.81889,138.06483,142.10211,147.33667,156.9643,162.19884,166.23613,177.48206
2021-09-01,145.6857,119.60996,131.17897,135.33511,140.7262,150.64522,156.0363,160.19244,171.76146
2021-10-01,146.52403,121.06612,132.13882,136.20348,141.55069,151.49739,156.8446,160.90926,171.98196
2021-11-01,149.33434,123.10856,134.5017,138.68932,144.20293,154.46573,159.97932,164.16696,175.5601
2021-12-01,150.01291,122.98431,134.90445,139.21487,144.83002,155.1958,160.81096,165.12137,177.04152
2022-01-01,153.82054,126.75928,138.7757,143.08856,148.67957,158.96152,164.5525,168.86539,180.8818
