timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-08-01,142.09442,115.63222,127.8349,132.03407,137.32948,146.85938,152.15479,156.35396,168.55666
2020-09-01,141.41333,117.51902,128.22623,132.03088,136.9308,145.89586,150.79576,154.60042,165.30763
2020-10-01,142.29922,116.27702,128.11955,132.25581,137.52307,147.07538,152.34262,156.4789,168.32143
2020-11-01,141.57849,110.42065,124.652596,129.60297,135.88986,147.2671,153.55402,158.50438,172.73631
2020-12-01,143.21571,115.43909,127.84623,132.27052,137.98164,148.44978,154.1609,158.5852,170.99234
2021-01-01,143.86858,115.044365,128.20615,132.78593,138.60356,149.13359,154.95122,159.53099,172.69278
2021-02-01,148.59637,120.15293,133.25058,137.765,143.46399,153.72874,159.42775,163.94217,177.03983
2021-03-01,147.20207,117.559814,131.27003,135.97194,141.88803,152.51613,158.43222,163.13411,176.84435
2021-04-01,145.49965,119.89061,131.67282,135.73784,140.87282,150.12646,155.26146,159.32648,171.10867
2021-05-01,149.30423,122.824486,134.90855,139.11613,144.46332,154.14514,159.49234,163.69992,175.784
2021-06-01,148.74052,124.015015,135.15501,139.08974,144.13722,153.34384,158.39133,162.32603,173.46605
2021-07-01,152.36765,129.01506,139.22359,142.9506,147.8362,156.8991,161.78468,165.5117,175.72023
2021-08-01,152.18176,126.70142,138.03816,142.09831,147.35422,157.00932,162.26523,166.32538,177.66212
2021-09-01,145.79709,119.581825,131.24117,135.41856,140.82773,150.76645,156.17561,160.35301,172.01236
2021-10-01,146.70003,121.10591,132.26205,136.34776,141.71446,151.6856,157.05229,161.138,172.29414
2021-11-01,149.58243,123.330765,134.75093,138.94226,144.45535,154.7095,160.2226,164.41393,175.83409
2021-12-01,150.05,122.98804,134.94417,139.2592,144.87325,155.22675,160.84079,165.15584,177.11197
2022-01-01,153.93115,126.88756,138.92525,143.23428,148.81061,159.05171,164.62804,168.93707,180.97475
