timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,154.13643,150.24147,150.16087,150.59879,151.91924,155.878,156.86617,157.131,158.59494
2019-09-01,153.91568,150.14508,150.1221,150.56859,151.73773,155.74814,156.96794,157.15274,158.62216
2019-10-01,153.77841,150.06693,150.09917,150.55125,151.61755,155.64215,156.99231,157.12381,158.64641
2019-11-01,153.69122,150.00977,150.08972,150.52525,151.53218,155.55055,156.98021,157.0836,158.66887
2019-12-01,153.62967,149.9674,150.08913,150.49376,151.46605,155.46725,156.9516,157.04181,158.68884
2020-01-01,154.10684,150.73415,150.22778,151.52612,152.32585,156.40845,157.31952,157.33669,157.70741
2020-02-01,154.05312,150.59651,150.17049,151.37723,152.21149,156.3289,157.32213,157.32983,157.88792
2020-03-01,154.00137,150.4767,150.1264,151.2375,152.10394,156.24385,157.31293,157.3178,158.04257
2020-04-01,153.95036,150.37366,150.09337,151.112,152.00409,156.15492,157.29303,157.30038,158.1747
2020-05-01,153.90007,150.28494,150.06966,151.00006,151.91124,156.06354,157.26506,157.27786,158.28644
2020-06-01,153.8506,150.20847,150.05363,150.90082,151.82501,155.97115,157.23103,157.25056,158.38016
2020-07-01,153.80225,150.14253,150.04385,150.81323,151.74515,155.87907,157.19254,157.21915,158.45801
2020-08-01,153.7553,150.08577,150.03912,150.7362,151.67137,155.7884,157.15094,157.18443,158.52205
2020-09-01,153.70998,150.03696,150.03839,150.6686,151.60336,155.69992,157.10733,157.1473,158.57413
2020-10-01,153.66647,149.99507,150.04083,150.60931,151.54076,155.6142,157.06262,157.1085,158.61592
2020-11-01,153.62497,149.95924,150.04572,150.55733,151.48315,155.5316,157.01755,157.06879,158.64897
2020-12-01,153.58548,149.92865,150.05249,150.51175,151.43016,155.45238,156.97269,157.0287,158.6746
2021-01-01,154.07224,150.69586,150.19357,151.53058,152.29445,156.39626,157.3316,157.32504,157.707
